event,band,N,historical_status
AT2018hyz,g,79,included
AT2019qiz,g,55,included
AT2019qiz,i,29,included
AT2019qiz,r,61,included
AT2020wey,W1,8,included
AT2020wey,W2,10,included
AT2020wey,g,428,included
AT2020wey,r,433,included
AT2020ysg,W1,16,included
AT2020ysg,W2,14,included
AT2020ysg,g,327,included
AT2020ysg,i,67,included
AT2020ysg,r,421,included
AT2020yue,W1,10,included
AT2020yue,W2,13,included
AT2020yue,g,168,included
AT2020yue,r,230,included
AT2020zso,B,14,included
AT2020zso,U,15,included
AT2020zso,UVM2,17,included
AT2020zso,UVW1,18,included
AT2020zso,UVW2,18,included
AT2020zso,W1,10,included
AT2020zso,W2,11,included
AT2020zso,g,162,included
AT2020zso,i,40,included
AT2020zso,r,232,included
