Event,Band,Number_of_points_used,source_original,URL_or_DOI,original_filename_if_exists,input_JSON_file,downloaded_from_TNS_ZTF_ASASSN_ATLAS_or_supplement,source_catalog_or_paper_ref,instrument_or_survey_inferred,preprocessing_before_fit,host_subtracted,galactic_extinction_correction,provenance_confidence,notes
AT2018hyz,g,79,alias 1: 2020MNRAS.497.1925G Gomez et al. (2020) (N=79),10.1093/mnras/staa2099; https://academic.oup.com/mnras/article/497/2/1925/5873679,AT2018hyz.json.txt,AT2018hyz.json.txt,paper supplementary / Open TDE,2020MNRAS.497.1925G,"Open TDE compiled photometry; specific telescope/filter per original paper, plus TNS points where indicated","Read JSON photometry; selected band; excluded upper limits; required finite time,magnitude,e_magnitude; converted magnitude to relative flux proxy F=10^(-0.4 mag); propagated flux error; kept positive flux/error; shifted time to t-t_min.",No explicit host subtraction applied in PEF-TDE fitting.,Used as provided by JSON/paper; no additional correction applied in PEF-TDE fitting.,High for JSON/source aliases; original telescope attribution deferred to cited paper.,All cleaned g-band points came from source alias 1 in JSON.
AT2019qiz,g,55,alias 1: 2020arXiv200602454N Nicholl et al. (2020) (N=54); alias 3: Transient Name Server  (N=1),10.1093/mnras/staa2824; arXiv:2006.02454; https://academic.oup.com/mnras/article/499/1/482/5920142; https://www.wis-tns.org/,AT2019qiz.json.txt,AT2019qiz.json.txt,paper supplementary / Open TDE; TNS,2020arXiv200602454N,"Open TDE compiled photometry; specific telescope/filter per original paper, plus TNS points where indicated","Read JSON photometry; selected band; excluded upper limits; required finite time,magnitude,e_magnitude; converted magnitude to relative flux proxy F=10^(-0.4 mag); propagated flux error; kept positive flux/error; shifted time to t-t_min.",No explicit host subtraction applied in PEF-TDE fitting.,Used as provided by JSON/paper; no additional correction applied in PEF-TDE fitting.,High for JSON/source aliases; original telescope attribution deferred to cited paper.,"For AT2019qiz g/r/i, most points come from Nicholl et al.; a small number of TNS points are present in the cleaned band selections."
AT2019qiz,r,61,alias 1: 2020arXiv200602454N Nicholl et al. (2020) (N=59); alias 3: Transient Name Server  (N=2),10.1093/mnras/staa2824; arXiv:2006.02454; https://academic.oup.com/mnras/article/499/1/482/5920142; https://www.wis-tns.org/,AT2019qiz.json.txt,AT2019qiz.json.txt,paper supplementary / Open TDE; TNS,2020arXiv200602454N,"Open TDE compiled photometry; specific telescope/filter per original paper, plus TNS points where indicated","Read JSON photometry; selected band; excluded upper limits; required finite time,magnitude,e_magnitude; converted magnitude to relative flux proxy F=10^(-0.4 mag); propagated flux error; kept positive flux/error; shifted time to t-t_min.",No explicit host subtraction applied in PEF-TDE fitting.,Used as provided by JSON/paper; no additional correction applied in PEF-TDE fitting.,High for JSON/source aliases; original telescope attribution deferred to cited paper.,"For AT2019qiz g/r/i, most points come from Nicholl et al.; a small number of TNS points are present in the cleaned band selections."
AT2019qiz,i,29,alias 1: 2020arXiv200602454N Nicholl et al. (2020) (N=28); alias 3: Transient Name Server  (N=1),10.1093/mnras/staa2824; arXiv:2006.02454; https://academic.oup.com/mnras/article/499/1/482/5920142; https://www.wis-tns.org/,AT2019qiz.json.txt,AT2019qiz.json.txt,paper supplementary / Open TDE; TNS,2020arXiv200602454N,"Open TDE compiled photometry; specific telescope/filter per original paper, plus TNS points where indicated","Read JSON photometry; selected band; excluded upper limits; required finite time,magnitude,e_magnitude; converted magnitude to relative flux proxy F=10^(-0.4 mag); propagated flux error; kept positive flux/error; shifted time to t-t_min.",No explicit host subtraction applied in PEF-TDE fitting.,Used as provided by JSON/paper; no additional correction applied in PEF-TDE fitting.,High for JSON/source aliases; original telescope attribution deferred to cited paper.,"For AT2019qiz g/r/i, most points come from Nicholl et al.; a small number of TNS points are present in the cleaned band selections."
AT2020wey,g,428,"Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.3847/1538-4357/aca283; arXiv:2203.01461; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020wey.json.txt,AT2020wey.json.txt,ZTF,2023ApJ...942....9H,ZTF DR23,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","ZTF data release field in JSON:  dr23. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020wey,r,433,"Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.3847/1538-4357/aca283; arXiv:2203.01461; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020wey.json.txt,AT2020wey.json.txt,ZTF,2023ApJ...942....9H,ZTF DR23,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","ZTF data release field in JSON:  dr23. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020wey,W1,8,"Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.3847/1538-4357/aca283; arXiv:2203.01461; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020wey.json.txt,AT2020wey.json.txt,WISE/NEOWISE / paper compiled light curve,2023ApJ...942....9H,WISE/NEOWISE,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","WISE W1/W2 filter entries in compiled lightcurve JSON. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020wey,W2,10,"Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.3847/1538-4357/aca283; arXiv:2203.01461; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020wey.json.txt,AT2020wey.json.txt,WISE/NEOWISE / paper compiled light curve,2023ApJ...942....9H,WISE/NEOWISE,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","WISE W1/W2 filter entries in compiled lightcurve JSON. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020zso,B,14,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,Swift/UVOT / paper compiled light curve,"2022A&A...666A...6W,2023ApJ...942....9H",Swift/UVOT,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","UVOT aperture in JSON: 7.0 arcsec. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
AT2020zso,U,15,"Wevers et al. (2022), An elliptical accretion disk following AT2020zso; Hammerstein et al. (2023), The Final Season Reimagined: 30 TDEs from ZTF-I Survey",10.1051/0004-6361/202142616; 10.3847/1538-4357/aca283; arXiv:2203.01461; https://www.aanda.org/articles/aa/full_html/2022/10/aa42616-21/aa42616-21.html; https://ui.adsabs.harvard.edu/abs/2023ApJ...942....9H/abstract,AT2020zso.json.txt,AT2020zso.json.txt,Swift/UVOT / paper compiled light curve,"2022A&A...666A...6W,2023ApJ...942....9H",Swift/UVOT,"Read JSON lightcurve.data with header mjd,filter,flux_Jy,e_flux_Jy; selected band; kept finite positive flux and positive error; did not use non-positive flux; shifted time to t-t_min. No time-dilation correction. Flux not additionally corrected for Galactic extinction in PEF-TDE fitting.",No explicit host subtraction applied in PEF-TDE fitting.,JSON note says flux is not corrected for Galactic extinction; extinction correction per band is provided separately but was not applied in PEF-TDE fitting.,"Medium-high: JSON provides paper_ref/lightcurve metadata and survey tags, but exact archive query/download provenance is not separately stored.","UVOT aperture in JSON: 7.0 arcsec. JSON catalog_version=v0.6, catalog_creation_date=Feb-2025; header=['mjd', 'filter', 'flux_Jy', 'e_flux_Jy']; note=The flux is not corrected for Galactic extinction, but the extinction correction  per band is provided in this dataframe (under the ""extinction"" key).  MJD is as observed (ie, no correction for time dilation)"
