Event,Band,Raw_JSON_file,Schema_type,Number_of_clean_points,Time_column_name,Flux_column_name,Flux_error_column_name,Units,Was_host_subtracted,Preprocessing
AT2018hyz,B,AT2018hyz.json.txt,Open TDE style photometry,35,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,AT2018hyz.json.txt,Open TDE style photometry,39,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVM2,AT2018hyz.json.txt,Open TDE style photometry,39,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW1,AT2018hyz.json.txt,Open TDE style photometry,39,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,AT2018hyz.json.txt,Open TDE style photometry,39,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,AT2018hyz.json.txt,Open TDE style photometry,45,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,AT2018hyz.json.txt,Open TDE style photometry,79,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,AT2018hyz.json.txt,Open TDE style photometry,59,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,orange,AT2018hyz.json.txt,Open TDE style photometry,1,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,r,AT2018hyz.json.txt,Open TDE style photometry,65,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,G,AT2019qiz.json.txt,Open TDE style photometry,1,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,AT2019qiz.json.txt,Open TDE style photometry,24,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,AT2019qiz.json.txt,Open TDE style photometry,28,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,AT2019qiz.json.txt,Open TDE style photometry,37,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,AT2019qiz.json.txt,Open TDE style photometry,26,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,AT2019qiz.json.txt,Open TDE style photometry,15,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,AT2019qiz.json.txt,Open TDE style photometry,55,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,AT2019qiz.json.txt,Open TDE style photometry,29,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,AT2019qiz.json.txt,Open TDE style photometry,38,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,orange,AT2019qiz.json.txt,Open TDE style photometry,1,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,AT2019qiz.json.txt,Open TDE style photometry,61,time_days,flux,flux_err,relative flux proxy from magnitude conversion,No,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2020wey,B,AT2020wey.json.txt,lightcurve JSON v0.6 style,4,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,U,AT2020wey.json.txt,lightcurve JSON v0.6 style,6,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2,AT2020wey.json.txt,lightcurve JSON v0.6 style,11,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVW1,AT2020wey.json.txt,lightcurve JSON v0.6 style,11,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVW2,AT2020wey.json.txt,lightcurve JSON v0.6 style,13,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,W1,AT2020wey.json.txt,lightcurve JSON v0.6 style,8,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,W2,AT2020wey.json.txt,lightcurve JSON v0.6 style,10,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g,AT2020wey.json.txt,lightcurve JSON v0.6 style,428,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r,AT2020wey.json.txt,lightcurve JSON v0.6 style,433,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B,AT2020zso.json.txt,lightcurve JSON v0.6 style,14,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,U,AT2020zso.json.txt,lightcurve JSON v0.6 style,15,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,UVM2,AT2020zso.json.txt,lightcurve JSON v0.6 style,17,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,UVW1,AT2020zso.json.txt,lightcurve JSON v0.6 style,18,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,UVW2,AT2020zso.json.txt,lightcurve JSON v0.6 style,18,time_days,flux,flux_err,catalog flux units,No,positive finite flux/error only; time shifted per band to min(time)=0
