event,band,measurement_mode,historical_processed_N,reconstructed_eligible_N,delta_N,positive_flux_N,zero_flux_N,negative_flux_N,source_raw_file,output_file,eligibility_rule,temporal_window_applied,model_ready,notes
AT2018hyz,g,MAGNITUDE,79,79,0,,,,AT2018hyz.json,data/reconstructed/eligible/AT2018hyz_g_eligible_measurements.csv,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,False,False,"Native magnitude DEC-006 eligible measurement layer; additional temporal, transformation, and modeling choices remain unresolved."
AT2019qiz,g,MAGNITUDE,55,55,0,,,,AT2019qiz.json,data/reconstructed/eligible/AT2019qiz_g_eligible_measurements.csv,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,False,False,"Native magnitude DEC-006 eligible measurement layer; additional temporal, transformation, and modeling choices remain unresolved."
AT2019qiz,i,MAGNITUDE,29,29,0,,,,AT2019qiz.json,data/reconstructed/eligible/AT2019qiz_i_eligible_measurements.csv,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,False,False,"Native magnitude DEC-006 eligible measurement layer; additional temporal, transformation, and modeling choices remain unresolved."
AT2019qiz,r,MAGNITUDE,61,61,0,,,,AT2019qiz.json,data/reconstructed/eligible/AT2019qiz_r_eligible_measurements.csv,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,False,False,"Native magnitude DEC-006 eligible measurement layer; additional temporal, transformation, and modeling choices remain unresolved."
AT2020wey,W1,FLUX,8,20,12,8,0,12,AT2020wey.json,data/reconstructed/eligible/AT2020wey_W1_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020wey,W2,FLUX,10,20,10,10,0,10,AT2020wey.json,data/reconstructed/eligible/AT2020wey_W2_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020wey,g,FLUX,428,683,255,428,2,253,AT2020wey.json,data/reconstructed/eligible/AT2020wey_g_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020wey,r,FLUX,433,801,368,433,0,368,AT2020wey.json,data/reconstructed/eligible/AT2020wey_r_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020ysg,W1,FLUX,16,21,5,16,0,5,AT2020ysg.json,data/reconstructed/eligible/AT2020ysg_W1_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020ysg,W2,FLUX,14,21,7,14,0,7,AT2020ysg.json,data/reconstructed/eligible/AT2020ysg_W2_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020ysg,g,FLUX,327,421,94,327,0,94,AT2020ysg.json,data/reconstructed/eligible/AT2020ysg_g_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020ysg,i,FLUX,67,79,12,67,0,12,AT2020ysg.json,data/reconstructed/eligible/AT2020ysg_i_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020ysg,r,FLUX,421,531,110,421,1,109,AT2020ysg.json,data/reconstructed/eligible/AT2020ysg_r_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020yue,W1,FLUX,10,21,11,10,0,11,AT2020yue.json,data/reconstructed/eligible/AT2020yue_W1_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020yue,W2,FLUX,13,21,8,13,0,8,AT2020yue.json,data/reconstructed/eligible/AT2020yue_W2_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020yue,g,FLUX,168,218,50,168,1,49,AT2020yue.json,data/reconstructed/eligible/AT2020yue_g_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020yue,r,FLUX,230,282,52,230,1,51,AT2020yue.json,data/reconstructed/eligible/AT2020yue_r_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,B,FLUX,14,18,4,14,0,4,AT2020zso.json,data/reconstructed/eligible/AT2020zso_B_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,U,FLUX,15,18,3,15,0,3,AT2020zso.json,data/reconstructed/eligible/AT2020zso_U_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,UVM2,FLUX,17,17,0,17,0,0,AT2020zso.json,data/reconstructed/eligible/AT2020zso_UVM2_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,UVW1,FLUX,18,18,0,18,0,0,AT2020zso.json,data/reconstructed/eligible/AT2020zso_UVW1_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,UVW2,FLUX,18,18,0,18,0,0,AT2020zso.json,data/reconstructed/eligible/AT2020zso_UVW2_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,W1,FLUX,10,21,11,10,0,11,AT2020zso.json,data/reconstructed/eligible/AT2020zso_W1_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,W2,FLUX,11,21,10,11,0,10,AT2020zso.json,data/reconstructed/eligible/AT2020zso_W2_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,g,FLUX,162,269,107,162,0,107,AT2020zso.json,data/reconstructed/eligible/AT2020zso_g_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,i,FLUX,40,64,24,40,1,23,AT2020zso.json,data/reconstructed/eligible/AT2020zso_i_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
AT2020zso,r,FLUX,232,324,92,232,1,91,AT2020zso.json,data/reconstructed/eligible/AT2020zso_r_eligible_measurements.csv,finite(flux) AND finite(flux_err) AND flux_err > 0,False,False,Sign-neutral DEC-006 eligible measurement layer; additional temporal and modeling choices remain unresolved.
