event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2018hyz,UVW2,58432.24316108553,0.0,16.025966463446867,0.01914391000726039,3.8869899220565047e-07,6.853615541314171e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58434.72191301361,2.4787519280798733,16.12971877002295,0.02445153424347274,3.5327466398658624e-07,7.95599106483113e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58436.419947904535,4.176786819007248,16.208072073210243,0.02009346947430223,3.286784049542174e-07,6.082775418068662e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58439.60793119343,7.3647701079025865,16.277803773280656,0.02159033162939555,3.0823254395359214e-07,6.129336770539766e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58440.57238319563,8.32922211010009,16.3273275372537,0.02038837432272607,2.9448893748318803e-07,5.5300271511593045e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58442.601728857495,10.3585677719675,16.362063539197706,0.02225407222848991,2.852164593712247e-07,5.846012742124015e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58443.56227158662,11.319110501091927,16.317361197409696,0.0314564519573535,2.972045959484591e-07,8.610749142366538e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58445.48064792203,13.237486836500466,16.36870955417614,0.02765184337887582,2.8347592319182334e-07,7.219646720290359e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58446.4470570744,14.203895988874137,16.69898705310839,0.02287730233341605,2.0912462671309584e-07,4.406417774144366e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58449.44320934173,17.200048256199807,16.586281283900306,0.02229401338874845,2.3199973372774564e-07,4.763777008858846e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58453.88488977682,21.641728691291064,16.642671570859264,0.02305121026585839,2.2025783783869166e-07,4.676282977828926e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58455.74154278077,23.49838169524446,16.781592750511603,0.02327021258855915,1.938040729202951e-07,4.153736384233916e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58458.56919971341,26.326038627885282,16.768561583950813,0.02354682595580978,1.961441529787802e-07,4.253862229334012e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58461.761664450634,29.51850336510688,16.873361928009686,0.03908019657821533,1.7809643607646016e-07,6.410437177323491e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58464.40626955405,32.163108468521386,16.984246376129825,0.02725314486894105,1.608057039401798e-07,4.036395881456354e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58467.63650107011,35.3933399845846,17.110576684285885,0.02673861715722758,1.431427400591547e-07,3.5252015254763694e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58475.80095518613,43.55779410060495,17.215987787421632,0.02743833769257353,1.2989872400844176e-07,3.282754171370785e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,UVW2,58481.554115493316,49.31095440778881,17.323993488475715,0.02870932342561225,1.1759872268346435e-07,3.1095764783035646e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
