event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2018hyz,U,58432.23980147345,0.0,15.995366855757528,0.02791402869186491,3.9980963660139576e-07,1.0279014016909969e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58434.69830416702,2.458502693567425,15.960230399219537,0.02860545427121321,4.1295986032818957e-07,1.0880087030989443e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58436.418017335236,4.178215861786157,16.03595975717476,0.03040911322789261,3.851377572998992e-07,1.078687218750183e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58439.60576049192,7.365959018468857,16.072607181218366,0.03281307085147231,3.723549464720357e-07,1.1253294480683666e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58440.56918179756,8.329380324110389,16.08872872145444,0.03044177666497539,3.6686688432520366e-07,1.0286181587627112e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58442.599585546646,10.359784073196352,16.091806101634386,0.0331522153964628,3.65828519391833e-07,1.1170324633089755e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58443.56032052217,11.320519048720598,16.105926076955782,0.04951539373695144,3.6110173010574825e-07,1.6468175480308003e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58445.477903483436,13.238102009985596,16.144199852030226,0.04310558729420782,3.4859412154498147e-07,1.3839783798913039e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58446.44393740175,14.204135928303003,16.23618210649012,0.03239851174268016,3.202780365376945e-07,9.557138909262615e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58449.44128024066,17.201478767208755,16.22612748369907,0.03265861205755673,3.232577952353694e-07,9.723495341600832e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,U,58453.88187634712,21.642074873670936,16.36692982414644,0.03497531032294215,2.839409756897302e-07,9.14671878364746e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
