event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2018hyz,V,58408.61476999987,0.0,17.25810199681758,0.202,1.2495660042920232e-07,2.324803499789517e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58428.64479333333,20.03002333346376,16.265964293871452,0.12733333333333333,3.116120779912547e-07,3.6545345382852316e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58431.62262666676,23.007856666888983,16.25811696552611,0.09200000000000001,3.1387246185350166e-07,2.6596024304959925e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58432.24552658666,23.630756586790085,16.252180618343914,0.08538785640780286,3.155932840392381e-07,2.4819872361917414e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58434.64460666664,26.02983666677028,16.694767029973764,0.1366666666666667,2.0993903084536775e-07,2.6426002396464804e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58434.72427679086,26.109506790991873,16.549875564566822,0.1364273481828918,2.3991078632630057e-07,3.01458054318645e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58436.10269166661,27.487921666739567,16.30420069771411,0.123,3.008290144540855e-07,3.408007268772573e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58436.422125820536,27.807355820667,16.327209171934506,0.09655487049205601,2.945210439718956e-07,2.6191851329325943e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58436.64547333339,28.03070333351934,16.501423646955466,0.14666666666666667,2.508594935859782e-07,3.3887352714870394e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58439.61026157811,30.995491578243673,16.527267131389102,0.11990309091250706,2.4495885730596543e-07,2.7051989248091897e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58440.57477927953,31.96000927966088,16.423993742262823,0.09982197224850874,2.694030468303121e-07,2.476876367068366e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58441.64667999977,33.03190999990329,16.41981467896443,0.103,2.7044199339911696e-07,2.565588694384052e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58442.148164999904,33.53339500003494,16.439167022686856,0.126,2.6566429580231366e-07,3.0830418221660475e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58442.60403006431,33.989260064437985,16.44831486875889,0.11232559178482648,2.6343535037974647e-07,2.7253886808573403e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,V,58443.37321000011,34.7584400002379,16.431783951636415,0.1365,2.674769850963542e-07,3.362751311566133e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
