event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2018hyz,g,58405.480409999844,0.0,18.288869258134792,0.218,4.8356214653116713e-08,9.709222874010929e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58420.48647999996,15.006070000119507,16.459815419056905,0.1565,2.606596647659754e-07,3.757196025802851e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58432.352736666646,26.87232666680211,16.51513644967472,0.108,2.4771107276881756e-07,2.4640235576368244e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58433.50614333339,28.02573333354667,16.335915647864446,0.18033333333333332,2.9216873544214206e-07,4.852722210714488e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58437.5087133334,32.02830333355814,16.261482468584486,0.09333333333333334,3.12901044278243e-07,2.6897967791794487e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58438.50918000005,33.02877000020817,16.392250442799373,0.08700000000000001,2.773957627417383e-07,2.2227711715579627e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58439.47406333344,33.9936533335931,16.378572818331733,0.0775,2.8091237572463264e-07,2.0051564112213532e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58440.491121666586,35.01071166674228,16.370807273112355,0.10533333333333333,2.829287564641859e-07,2.744849889284715e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58441.087890625,35.60748062515631,16.2432095519059,0.04282958246767521,3.1821172601457956e-07,1.2552658096686409e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58441.48398833326,36.003578333416954,16.27408816377354,0.08916666666666667,3.09289185225401e-07,2.5400539801232756e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58442.291015625,36.81060562515631,16.263412191036245,0.0308349272236228,3.1234540664208536e-07,8.870615017012453e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58442.51182333349,37.031413333643286,16.442536813000174,0.08,2.648410340014049e-07,1.9514208540952455e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,g,58443.466796875,37.98638687515631,16.269910458544118,0.04268452152609825,3.10481563397759e-07,1.220624026188812e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
