event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2018hyz,i,58441.09765625,0.0,16.59768691781023,0.05205022543668747,2.2957533825467107e-07,1.1005848435828297e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58442.30078125,1.203125,16.618402012602427,0.05684839375317097,2.2523672033121075e-07,1.1793238273668838e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58443.482421875,2.384765625,16.56773623649742,0.07764107175171375,2.3599646918186917e-07,1.6876123976157215e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58446.0859375,4.98828125,16.637662830378815,0.07941455766558647,2.2127628315419313e-07,1.6184924175472227e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58449.33984375,8.2421875,16.704028694568624,0.0950864776968956,2.0815580273713545e-07,1.8229844420499265e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58453.05859375,11.9609375,16.733545383226847,0.0500837042927742,2.0257313381813804e-07,9.344454838427675e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58455.0390625,13.94140625,16.766027530443644,0.06065176054835319,1.9660247817875462e-07,1.0982673671057184e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58464.31640625,23.21875,16.958212152374394,0.05576757900416851,1.647081688956272e-07,8.460043776070871e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58465.537109375,24.439453125,16.951278739966202,0.0467754490673542,1.65763345790307e-07,7.141380110812477e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58468.25,27.15234375,17.05534791164654,0.05062613077461719,1.5061243686675298e-07,7.022815387093612e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58472.265625,31.16796875,17.163962096507724,0.06305929273366928,1.3627467702081873e-07,7.914799849892084e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58476.07421875,34.9765625,17.175673052498873,0.10707403719425201,1.3481269138908199e-07,1.329507026549554e-08,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58476.529296875,35.431640625,17.147439840628415,0.03845248557627201,1.3836430428884345e-07,4.900316846413819e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58481.337890625,40.240234375,17.2363738679203,0.03565450757741928,1.2748246512742766e-07,4.1863985919918055e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58484.306640625,43.208984375,17.372025027931134,0.07287988811731339,1.1250970574060008e-07,7.552197974565507e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58485.27734375,44.1796875,17.45275123955009,0.05482902377843857,1.0444784987451868e-07,5.274553449797252e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58488.33984375,47.2421875,17.46343913979647,0.09020605683326721,1.034247176829511e-07,8.592820171591547e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58492.17578125,51.078125,17.54057436396027,0.05136215686798096,9.633192844702028e-08,4.557106596066034e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58498.365234375,57.267578125,17.646535727549896,0.04831600934267044,8.737470228724551e-08,3.888234465722779e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58510.427734375,69.330078125,17.872406916577336,0.06334075890481472,7.096386048024003e-08,4.1399602941629156e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58516.69140625,75.59375,17.971575757130918,0.04118606075644493,6.476937363557569e-08,2.4569461219228346e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58521.51171875,80.4140625,17.982603153002238,0.13259288668632507,6.411486598075178e-08,7.829871678441961e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58525.4921875,84.39453125,17.98263939262626,0.0391860194504261,6.411272599513561e-08,2.3139345605822327e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58525.701171875,84.603515625,18.09698175099586,0.05305547080934048,5.7704183414400117e-08,2.8197665374910776e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58526.2265625,85.12890625,18.0362072789788,0.03806090354919433,6.102630685072711e-08,2.1393008438237498e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58532.1796875,91.08203125,18.19438355889098,0.0740472599864006,5.275292881526291e-08,3.5977522144967503e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58537.98828125,96.890625,18.367532030725226,0.08230172097682953,4.497665859589247e-08,3.4093515441477663e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58547.31640625,106.21875,18.26537330986259,0.10714374482631683,4.941407568199076e-08,4.876331002408607e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58549.248046875,108.150390625,18.49269146819881,0.06243475899100303,4.007960315243783e-08,2.304759067912776e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58555.92578125,114.828125,18.65100745720097,0.09600434824824333,3.464152617306941e-08,3.063117107079311e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58559.34375,118.24609375,18.567564090502238,0.05611036717891693,3.7408850535013366e-08,1.9332728613654595e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58563.197265625,122.099609375,18.658423097091266,0.09431584551930428,3.4405728755048064e-08,2.9887604226692355e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58569.1875,128.08984375,18.79452008085602,0.08126575499773026,3.035232526868452e-08,2.2718268195227233e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58574.13671875,133.0390625,19.040339374594318,0.08860017731785774,2.420272410502878e-08,1.975033749342864e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58574.87890625,133.78125,18.574510590402863,0.18530278280377388,3.717027411446842e-08,6.343857007627808e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58577.27734375,136.1796875,18.713253101122355,0.04668688029050827,3.2711371970188894e-08,1.4065957279657177e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58581.14453125,140.046875,19.032339391731536,0.07744749635457993,2.4381714598698403e-08,1.7391911075874658e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58584.16796875,143.0703125,18.940956195604777,0.06421574205160141,2.6522687100294708e-08,1.5686812559845318e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58586.51953125,145.421875,19.171196313878717,0.2741551846265793,2.1454651994636218e-08,5.417433860003607e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58593.125,152.02734375,19.381387993596064,0.12570714578032494,1.7678475156949958e-08,2.046823753310895e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58594.28125,153.18359375,19.12554176689384,0.07310473918914795,2.2376043272828226e-08,1.5066226956202531e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58599.091796875,157.994140625,19.151593661905952,0.06492805480957031,2.1845527461526684e-08,1.306383261560255e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2018hyz,i,58599.2109375,158.11328125,19.115398486864542,0.08192084729671478,2.2586066643407824e-08,1.70416138691831e-09,relative flux proxy from magnitude conversion,AT2018hyz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
