event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2019qiz,M2,58753.07,0.0,15.21,0.04,8.241381150130013e-07,3.036237021115439e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58755.39,2.319999999999709,15.09,0.04,9.204495717531703e-07,3.391061540434566e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58756.44,3.3700000000026193,14.83,0.04,1.16949939101987e-06,4.3085949824447475e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58763.22,10.150000000001455,14.12,0.04,2.249054605835783e-06,8.285823373963318e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58766.08,13.010000000002037,14.11,0.03,2.2698648518838214e-06,6.271868365270592e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58769.33,16.260000000002037,14.29,0.03,1.9230917289101576e-06,5.3136988169384114e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58778.55,25.4800000000032,14.93,0.04,1.066596121230257e-06,3.929485326384096e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58781.69,28.62000000000262,15.35,0.04,7.244359600749891e-07,2.6689207079959998e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58784.61,31.540000000000873,15.28,0.04,7.726805850957021e-07,2.84666047501965e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58787.07,34.0,15.43,0.05,6.729766562843169e-07,3.099172033386492e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58799.82,46.75,15.86,0.05,4.5289757990362046e-07,2.0856704322783128e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58802.93,49.86000000000058,15.93,0.06,4.24619563946313e-07,2.3465344275273898e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58805.26,52.19000000000233,16.07,0.07,3.732501577957199e-07,2.4064326980346805e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58809.11,56.04000000000087,16.31,0.06,2.992264636608189e-07,1.653586547171343e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58815.35,62.279999999998836,16.59,0.07,2.312064790175594e-07,1.4906432575705246e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58820.99,67.91999999999825,16.69,0.08,2.1086281499332844e-07,1.5536946383052785e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58825.85,72.77999999999884,17.14,0.1,1.3931568029453006e-07,1.2831448346660371e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58836.85,83.77999999999884,17.17,0.13,1.3551894123510321e-07,1.622628248312681e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58847.96,94.88999999999942,17.51,0.12,9.908319448927645e-08,1.0951079356667411e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58852.59,99.5199999999968,17.68,0.12,8.472274141405963e-08,9.363903428044944e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58857.12,104.05000000000291,17.93,0.16,6.729766562843168e-08,9.917350506836771e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58862.36,109.29000000000087,18.07,0.17,5.9156163417547306e-08,9.262422802989564e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58867.94,114.87000000000262,18.61,0.33,3.5974933515574236e-08,1.0934265623742533e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,M2,58910.35,157.27999999999884,18.82,0.23,2.964831389524339e-08,6.280634435898802e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
