event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2019qiz,U,58753.06,0.0,15.79,0.07,4.830588020397729e-07,3.1143951905257607e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58755.39,2.3300000000017462,15.62,0.07,5.649369748123022e-07,3.642283278715088e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58756.43,3.3700000000026193,15.44,0.07,6.668067692136218e-07,4.29906211475666e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58760.63,7.569999999999709,14.96,0.04,1.0375284158180105e-06,3.822395942112446e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58763.21,10.150000000001455,14.75,0.06,1.2589254117941661e-06,6.957078927332731e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58766.07,13.010000000002037,14.89,0.05,1.1066237839776652e-06,5.096190857079271e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58769.32,16.260000000002037,14.96,0.05,1.0375284158180105e-06,4.777994927640558e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58772.79,19.7300000000032,15.02,0.05,9.817479430199845e-07,4.5211163573507694e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58778.55,25.49000000000524,15.29,0.06,7.655966069112569e-07,4.230843202369638e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58781.68,28.62000000000262,15.6,0.07,5.754399373371567e-07,3.709998380552702e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58784.6,31.540000000000873,15.65,0.07,5.495408738576237e-07,3.543020947579361e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58787.06,34.0,15.68,0.07,5.345643593969713e-07,3.4464637905414585e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58790.64,37.580000000001746,15.92,0.09,4.2854852039743923e-07,3.552369964890474e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58796.03,42.970000000001164,15.91,0.08,4.3251383103500795e-07,3.186879679535856e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58799.81,46.75,16.12,0.09,3.564511334262439e-07,2.954732638349163e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58802.92,49.86000000000058,16.22,0.1,3.250872973854347e-07,2.9941646595256974e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58805.26,52.200000000004366,16.39,0.12,2.779713267759283e-07,3.0722526399073403e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58809.1,56.04000000000087,16.59,0.12,2.312064790175594e-07,2.5553884415494702e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,U,58815.34,62.279999999998836,16.78,0.14,1.9408858775927752e-07,2.5026707378107635e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
