event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2019qiz,W1,58753.06,0.0,15.33,0.05,7.379042301291e-07,3.3981745607050277e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58755.39,2.3300000000017462,15.17,0.05,8.550667128846823e-07,3.9377277332073796e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58756.43,3.3700000000026193,14.98,0.05,1.0185913880541148e-06,4.690786691971037e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58759.76,6.700000000004366,14.5,0.04,1.584893192461111e-06,5.838962302317916e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58759.77,6.709999999999127,14.45,0.05,1.6595869074375596e-06,7.64268014718763e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58760.64,7.580000000001746,14.42,0.05,1.706082389003121e-06,7.856799752676511e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58763.21,10.150000000001455,14.28,0.05,1.9408858775927793e-06,8.938109777895602e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58766.07,13.010000000002037,14.28,0.04,1.9408858775927793e-06,7.15048782231648e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58769.32,16.260000000002037,14.41,0.04,1.7218685749860062e-06,6.343598260572286e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58771.19,18.130000000004657,14.5,0.03,1.584893192461111e-06,4.379221726738437e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58771.2,18.139999999999418,14.57,0.05,1.485935642287006e-06,6.842986518157187e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58771.25,18.19000000000233,14.52,0.03,1.555965631605075e-06,4.299291922253893e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58771.27,18.209999999999127,14.53,0.04,1.5417004529495584e-06,5.679834369318115e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58771.33,18.270000000004075,14.5,0.04,1.584893192461111e-06,5.838962302317916e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58771.78,18.720000000001164,14.53,0.04,1.5417004529495584e-06,5.679834369318115e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58771.79,18.7300000000032,14.54,0.04,1.5275660582380731e-06,5.6277613348202594e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58772.78,19.720000000001164,14.6,0.04,1.445439770745928e-06,5.3251969103044886e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58778.55,25.49000000000524,14.97,0.05,1.0280162981264726e-06,4.734190006841878e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58781.68,28.62000000000262,15.25,0.05,7.943282347242805e-07,3.658016704440808e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58784.6,31.540000000000873,15.29,0.05,7.655966069112569e-07,3.5257026686413654e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58787.06,34.0,15.48,0.06,6.426877173170194e-07,3.5516235776268967e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58796.03,42.970000000001164,15.76,0.07,4.965923214503358e-07,3.2016490146671826e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58799.81,46.75,15.87,0.07,4.487453899331323e-07,2.8931684471475266e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58802.92,49.86000000000058,16.07,0.08,3.732501577957199e-07,2.7502087977539203e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58805.26,52.200000000004366,16.32,0.11,2.9648313895243394e-07,3.00378168673421e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58809.1,56.04000000000087,16.36,0.09,2.8575905433749434e-07,2.368744339340124e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58815.34,62.279999999998836,16.54,0.11,2.42102904673618e-07,2.4528351727969383e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58820.98,67.92000000000553,16.84,0.13,1.8365383433483437e-07,2.1989686222950562e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W1,58825.84,72.77999999999884,16.89,0.13,1.7538805018417602e-07,2.0999987311855517e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
