event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2019qiz,W2,58753.06,0.0,15.0,0.04,1e-06,3.6841361487904733e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58755.39,2.3300000000017462,14.9,0.04,1.0964781961431828e-06,4.039574958771671e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58756.44,3.3800000000046566,14.68,0.04,1.342764961137864e-06,4.9469289326572415e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58763.21,10.150000000001455,14.05,0.04,2.398832919019485e-06,8.837627071868256e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58766.08,13.020000000004075,14.23,0.03,2.0323570109362208e-06,5.615609948428416e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58769.33,16.270000000004075,14.49,0.03,1.5995580286146678e-06,4.419742166480493e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58772.79,19.7300000000032,14.72,0.12,1.2941958414499836e-06,1.430398104930057e-07,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58778.55,25.49000000000524,15.16,0.04,8.629785477669702e-07,3.179330463459001e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58781.68,28.62000000000262,15.78,0.06,4.87528490103386e-07,2.6941820009326845e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58784.6,31.540000000000873,15.52,0.05,6.194410750767812e-07,2.852631570920004e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58787.06,34.0,15.75,0.06,5.011872336272714e-07,2.7696630070777905e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58796.03,42.970000000001164,16.03,0.15,3.872576449216165e-07,5.350162082066974e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58799.81,46.75,16.07,0.07,3.732501577957199e-07,2.4064326980346805e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,W2,58802.93,49.87000000000262,16.2,0.07,3.311311214825908e-07,2.1348812356262e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
