event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2019qiz,c,58750.48,0.0,17.14,0.05,1.3931568029453006e-07,6.415724173330186e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58762.5,12.019999999996799,15.88,0.02,4.4463126746910836e-07,8.19041062682734e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58782.55,32.06999999999971,16.51,0.03,2.4888573182823853e-07,6.8769669115993895e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58789.41,38.93000000000029,16.83,0.06,1.8535316234148142e-07,1.0242994285123212e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58790.44,39.95999999999913,17.01,0.17,1.5703628043335483e-07,2.4588079090185133e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58814.45,63.96999999999389,17.89,0.22,6.982324040771705e-08,1.4148107820646694e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58817.37,66.88999999999942,17.9,0.04,6.918309709189362e-08,2.548799488815264e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58818.44,67.95999999999913,18.15,0.24,5.495408738576248e-08,1.2147500391700689e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58846.37,95.88999999999942,18.99,0.32,2.535128630497907e-08,7.471807223560822e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58866.41,115.93000000000029,19.23,0.29,2.032357010936221e-08,5.428422950147469e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58869.37,118.88999999999942,19.27,0.12,1.958844673505989e-08,2.164995141458726e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58870.33,119.84999999999854,19.36,0.31,1.80301774085957e-08,5.147986197908739e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58874.37,123.88999999999942,19.25,0.06,1.9952623149688786e-08,1.1026227031344315e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58902.28,151.79999999999563,19.32,0.05,1.8706821403657977e-08,8.614809620272964e-10,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,c,58930.27,179.7899999999936,19.79,0.23,1.2133888504649761e-08,2.5704165927589693e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
