event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2019qiz,g,58746.5,0.0,17.63,0.05,8.871560120379617e-08,4.085504416957314e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58746.5036227,0.0036227000018698163,17.63,0.05,8.871560120379617e-08,4.085504416957314e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58748.52,2.0199999999967986,17.25,0.04,1.2589254117941662e-07,4.63805261822182e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58749.47,2.970000000001164,17.12,0.04,1.4190575216890896e-07,5.228001112867797e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58751.49,4.989999999997963,16.92,0.03,1.706082389003121e-07,4.7140798516059065e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58752.26,5.760000000002037,16.77,0.03,1.9588446735059888e-07,5.412487853646815e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58756.42,9.919999999998254,16.46,0.03,2.6061535499988925e-07,7.201068377137156e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58758.34,11.839999999996508,16.23,0.04,3.2210687912834283e-07,1.1866855971708115e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58759.43,12.930000000000291,16.04,0.04,3.8370724549227845e-07,1.4136297336709237e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58762.26,15.760000000002037,15.84,0.03,4.613175745603791e-07,1.2746675643826779e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58763.45,16.94999999999709,15.78,0.02,4.87528490103386e-07,8.980606669775616e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58766.31,19.80999999999767,15.86,0.06,4.5289757990362046e-07,2.502804518733975e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58766.4,19.900000000001455,15.83,0.03,4.6558609352295813e-07,1.2864619181415542e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58769.93,23.43000000000029,15.92,0.1,4.2854852039743923e-07,3.947077738767194e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58772.33,25.830000000001746,16.02,0.03,3.908408957924017e-07,1.0799333044608282e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58775.43,28.93000000000029,16.14,0.03,3.4994516702835694e-07,9.669342299577673e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58778.31,31.80999999999767,16.26,0.04,3.133285724315576e-07,1.1543451201440156e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58781.41,34.91000000000349,16.45,0.04,2.6302679918953816e-07,9.690265389948303e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58786.35,39.849999999998545,16.58,0.06,2.3334580622810046e-07,1.2895165798404032e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58787.43,40.93000000000029,16.73,0.04,2.0323570109362208e-07,7.487479931237887e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58790.08,43.580000000001746,16.79,0.03,1.9230917289101576e-07,5.313698816938412e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58790.33,43.830000000001746,16.83,0.04,1.8535316234148142e-07,6.828662856748809e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58793.35,46.849999999998545,16.95,0.04,1.6595869074375596e-07,6.114144117750104e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58794.55,48.05000000000291,17.01,0.04,1.5703628043335483e-07,5.785430374161207e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58798.1,51.599999999998545,17.26,0.12,1.2473835142429407e-07,1.3786592088683144e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58800.23,53.7300000000032,17.2,0.06,1.3182567385564074e-07,7.28495595585344e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58802.47,55.970000000001164,17.3,0.04,1.2022644346174106e-07,4.429305863979143e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58803.22,56.720000000001164,17.27,0.14,1.2359474334445093e-07,1.593689516145204e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58806.3,59.80000000000291,17.43,0.05,1.0665961212302568e-07,4.91185665798012e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58806.37,59.87000000000262,17.44,0.06,1.0568175092136563e-07,5.840189382553111e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58811.84,65.33999999999651,17.64,0.04,8.790225168308824e-08,3.2384386298574364e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58812.33,65.83000000000175,17.69,0.05,8.394599865193964e-08,3.86585610224909e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58820.02,73.5199999999968,17.93,0.04,6.729766562843168e-08,2.479337626709193e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58820.22,73.72000000000116,17.91,0.13,6.854882264526606e-08,8.207653852594681e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58821.72,75.22000000000116,18.06,0.03,5.970352865838366e-08,1.6496694610552445e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58825.44,78.94000000000233,18.18,0.13,5.3456435939697136e-08,6.400575611005566e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58832.9,86.40000000000146,18.41,0.05,4.3251383103500796e-08,1.9917997997099103e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58833.2,86.69999999999709,18.23,0.1,5.1050499997540545e-08,4.701924811369178e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,g,58837.05,90.55000000000291,18.54,0.05,3.837072454922785e-08,1.7670371670886548e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
