event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2019qiz,i,58752.27,0.0,17.12,0.04,1.4190575216890896e-07,5.228001112867797e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58758.35,6.080000000001746,16.45,0.03,2.6302679918953816e-07,7.2676990424612274e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58762.26,9.990000000005239,16.07,0.04,3.732501577957199e-07,1.3751043988769601e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58766.32,14.05000000000291,16.0,0.04,3.981071705534969e-07,1.4666810181288325e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58769.94,17.67000000000553,16.17,0.04,3.404081897010002e-07,1.25411011702178e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58775.6,23.330000000001746,16.08,0.03,3.6982817978026667e-07,1.021873024477397e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58786.36,34.09000000000378,16.82,0.05,1.8706821403657978e-07,8.614809620272965e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58790.09,37.81999999999971,16.85,0.05,1.8197008586099787e-07,8.380032141487607e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58794.56,42.29000000000087,17.17,0.05,1.3551894123510321e-07,6.240877878125697e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58798.11,45.84000000000378,17.17,0.05,1.3551894123510321e-07,6.240877878125697e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58802.48,50.2100000000064,17.58,0.12,9.289663867799362e-08,1.0267315939641708e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58806.31,54.04000000000087,17.6,0.04,9.120108393559078e-08,3.3599721013598413e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58811.85,59.580000000001746,17.66,0.04,8.629785477669702e-08,3.1793304634590017e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58820.03,67.76000000000204,18.22,0.08,5.152286445817562e-08,3.796344948791935e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58821.73,69.4600000000064,17.99,0.06,6.367955209079162e-08,3.519062096947071e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58825.45,73.18000000000029,18.32,0.11,4.698941086052151e-08,4.760673146944413e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58832.9,80.63000000000466,18.24,0.06,5.058246620031148e-08,2.7952903833530976e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58837.05,84.78000000000611,18.53,0.08,3.872576449216165e-08,2.8534197771023856e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58840.83,88.56000000000495,18.66,0.24,3.435579478998743e-08,7.594285530373207e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58849.23,96.9600000000064,18.57,0.08,3.732501577957199e-08,2.7502087977539203e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58852.8,100.53000000000611,19.17,0.14,2.147830474130529e-08,2.769514961926323e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58856.82,104.55000000000291,19.18,0.31,2.128139045982709e-08,6.076274341441962e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58860.8,108.53000000000611,19.03,0.09,2.4434305526939663e-08,2.0254344359037586e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58870.14,117.87000000000262,19.27,0.12,1.958844673505989e-08,2.164995141458726e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58873.85,121.58000000000175,19.41,0.17,1.721868574986006e-08,2.6960292607432216e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58877.86,125.59000000000378,19.34,0.18,1.8365383433483437e-08,3.0447257847162314e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58882.5,130.2300000000032,19.33,0.37,1.853531623414814e-08,6.3165131424926485e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,i,58897.88,145.61000000000058,19.92,0.15,1.0764652136298327e-08,1.4871916524184226e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
