event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2019qiz,o,58744.54,0.0,18.11,0.11,5.701642722807478e-08,5.776547717210372e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58752.52,7.9799999999959255,16.98,0.05,1.6143585568264836e-07,7.4343958953920856e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58756.49,11.94999999999709,16.62,0.01,2.2490546058357782e-07,2.0714558434908253e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58764.49,19.94999999999709,15.87,0.01,4.487453899331323e-07,4.133097781639324e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58768.46,23.919999999998254,15.95,0.03,4.168693834703355e-07,1.1518526737252957e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58769.42,24.87999999999738,16.06,0.06,3.767037989839093e-07,2.0817421248349804e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58770.48,25.94000000000233,15.95,0.02,4.168693834703355e-07,7.679017824835305e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58772.53,27.989999999997963,16.08,0.02,3.6982817978026667e-07,6.812486829849313e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58774.58,30.040000000000873,16.27,0.02,3.1045595881283557e-07,5.71881010234887e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58778.48,33.94000000000233,16.2,0.05,3.311311214825908e-07,1.5249151683044283e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58780.54,36.0,16.34,0.05,2.910717118066602e-07,1.3404347691965501e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58784.48,39.94000000000233,16.52,0.02,2.466039337234336e-07,4.54261233332216e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58788.49,43.94999999999709,16.84,0.02,1.8365383433483437e-07,3.383028649684702e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58792.51,47.970000000001164,16.92,0.02,1.706082389003121e-07,3.1427199010706046e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,o,58794.42,49.87999999999738,16.91,0.1,1.7218685749860061e-07,1.5858995651430714e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
