event,band,time_original,time_days,magnitude,magnitude_error,flux,flux_err,flux_units,source_json,preprocessing
AT2019qiz,r,58745.49,0.0,17.81,0.07,7.516228940182061e-08,4.8458918796942226e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58745.4998032,0.009803200002352241,17.8184,0.0682373,7.458302605492256e-08,4.687459349254477e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58745.4998148,0.009814800003368873,17.82,0.07,7.447319739059889e-08,4.801464475897492e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58748.48,2.9900000000052387,17.42,0.05,1.0764652136298327e-07,4.9573055080614085e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58751.5,6.010000000002037,17.0,0.03,1.584893192461111e-07,4.379221726738437e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58752.26,6.7700000000040745,17.01,0.02,1.5703628043335483e-07,2.8927151870806035e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58758.34,12.849999999998545,16.31,0.02,2.992264636608189e-07,5.51195515723781e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58762.26,16.770000000004075,15.95,0.02,4.168693834703355e-07,7.679017824835305e-09,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58763.49,18.0,15.81,0.03,4.742419852602439e-07,1.3103790308785676e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58766.31,20.81999999999971,15.89,0.04,4.405548635065525e-07,1.6230640981699433e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58766.48,20.99000000000524,15.82,0.03,4.698941086052151e-07,1.2983654037121124e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58769.43,23.94000000000233,15.92,0.03,4.2854852039743923e-07,1.184123321630158e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58769.94,24.450000000004366,16.03,0.06,3.872576449216165e-07,2.1400648328267894e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
AT2019qiz,r,58772.37,26.880000000004657,16.02,0.03,3.908408957924017e-07,1.0799333044608282e-08,relative flux proxy from magnitude conversion,AT2019qiz.json.txt,upper limits excluded; finite positive flux/error; time shifted per band to min(time)=0
