event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020wey,UVM2.uvot,59150.589724,0.0,0.00032503,1.4364e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,59154.268422,3.678698000003351,0.00025814,1.122e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,59158.05926,7.469536000004155,0.00022898,1.02e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,59162.697099,12.107374999999593,0.00010858,5.7844e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,59166.781738,16.1920140000002,5.9965e-05,4.0484e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,59180.610607,30.020883000004687,3.2858e-05,2.458e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,59187.016159,36.42643500000122,2.3443e-05,5.0152e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,59197.056809,46.46708500000386,3.5305e-05,1.0204e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,59201.675233,51.085509000004095,2.5554e-05,4.3467e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,60542.639374,1392.0496500000008,5.2127e-07,4.0428e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,UVM2.uvot,60545.425053,1394.8353290000014,1.8118e-06,2.7042e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
