event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020wey,g.ztf,58422.47346059978,0.0,2.45987567827789e-06,5.8928812512242314e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58423.47309029987,0.9996297000907362,5.52038065776987e-06,5.185036561066556e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58425.51209490001,3.0386343002319336,3.6490380974702318e-06,3.8531527965756615e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58427.51491900021,5.04145840043202,6.380480460571073e-06,3.2027011146146455e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58428.53129629977,6.057835699990392,4.91079482591237e-06,2.7249875616629746e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58428.532222200185,6.058761600404978,3.3174496542421694e-06,2.582649052386622e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58429.45197919989,6.978518600109965,3.3946441216136207e-06,2.657521986832817e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58430.3880671002,7.914606500416994,6.885895156413004e-07,3.277583358230421e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58430.511088000145,8.037627400364727,7.206473381827702e-06,2.431635019599708e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58431.49245369993,9.01899310015142,3.1116596021315285e-06,4.407117562834844e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58432.46334489994,9.989884300157428,3.26034929975279e-06,3.1653981130390677e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58434.42306709988,11.949606500100344,9.945305464739099e-06,4.805851322288998e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58434.424074099865,11.950613500084728,6.310877097700361e-06,4.758478866631459e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58437.49923609989,15.025775500107557,2.0013775401565083e-06,3.9228202341276355e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58438.473263899796,15.999803300015628,2.142077538479586e-06,2.9071203687589714e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58441.473541699816,19.00008110003546,4.2403892234660905e-06,2.7825424888094975e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58443.514050900005,21.04059030022472,9.15830622859497e-08,3.925219615842994e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58443.51496529998,21.041504700202495,3.3710757145678467e-06,3.98449249772883e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58450.4712731,27.997812500223517,1.7922793701489479e-06,5.256880296663115e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58450.47505789995,28.001597300171852,6.113400836463821e-06,4.8918322264017606e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58464.47348379996,42.000023200176656,2.08370237338133e-06,3.0699359594210894e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58468.452997699846,45.9795371000655,3.101211777940509e-07,2.5470355456840105e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58472.50958329998,50.036122700199485,8.27395349558777e-06,4.917598396741309e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58475.531979199965,53.05851860018447,1.4194604194823194e-06,9.624873497548926e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58475.53618060006,53.062720000278205,5.717084890376215e-06,1.0371029578627321e-05,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58480.49017360015,58.01671300036833,2.3515642119768998e-07,5.986975176322803e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58486.42886570003,63.955405100248754,2.616748189775897e-07,4.604724784535037e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58487.47329859994,64.99983800016344,1.952620729442304e-06,3.6081385457656443e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58493.53483799985,71.0613774000667,5.876280209391296e-07,2.8050348687609063e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58509.23899309989,86.76553250011057,2.573483695684248e-06,5.416473055276543e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58511.17533560004,88.70187500026077,6.027246302546586e-06,4.74046916924304e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58511.177199100144,88.70373850036412,6.818391355183282e-06,3.716853435965602e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58541.242303200066,118.768842600286,6.193322451740955e-07,3.565175665378092e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58541.243217600044,118.76975700026378,1.3230362566684603e-06,4.75980086525693e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58559.301643500105,136.82818290032446,3.81071302423365e-06,8.970243671454308e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,g.ztf,58559.30255790008,136.82909730030224,2.537556611007611e-06,7.695522664419555e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
