event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020wey,r.ztf,58422.52891199989,0.0,7.005085040378452e-06,6.0473508567369216e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58422.529872700106,0.0009607002139091492,5.949062610276444e-06,6.032558276688697e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58425.49300929997,2.96409730007872,1.2283751931892044e-05,6.148349983352527e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58425.49392359983,2.9650115999393165,1.6467134739387335e-06,6.102098136308995e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58427.48734949995,4.958437500055879,5.164892700049535e-06,6.205726587058913e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58428.51223379979,5.9833217998966575,1.5247482738809154e-06,4.349149255665737e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58428.513148100115,5.984236100222915,1.3475229981192468e-06,4.158125275896714e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58429.41200229991,6.8830903000198305,6.185327813784498e-07,4.021962655232337e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58430.490046299994,7.961134300101548,1.426048418693433e-06,4.129588641921647e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58431.53155090008,9.002638900186867,4.639630956992427e-06,7.170516909953344e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58431.53246530006,9.00355330016464,2.01796256043654e-05,8.490127319255531e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58432.51379630016,9.984884300269186,3.7121944076751843e-06,4.5633279243200074e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58434.4646528,11.93574080010876,2.5893248621606153e-06,6.666359332336878e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58434.46556709986,11.936655099969357,1.3178798154507166e-05,7.159192799173115e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58437.3879976999,14.859085700009018,3.7989038737378734e-06,6.023298021855084e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58438.530023099855,16.001111099962145,5.738914692589759e-06,4.272918182452431e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58440.53300930001,18.004097300115973,9.735869640742374e-06,4.354255051045749e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58442.53151619993,20.00260420003906,5.0395580201526825e-06,4.477179253800533e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58443.4465855998,20.917673599906266,8.688465242183949e-06,6.4532130537171634e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58443.44749999978,20.91858799988404,3.3502278511900908e-06,6.086995467752856e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020wey,r.ztf,58447.430705999956,24.90179400006309,5.809264101883674e-06,8.985790237993643e-06,catalog flux units,AT2020wey.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
