event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020ysg,g.ztf,58426.49311339995,0.0,3.098480764632667e-06,3.189688443776132e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58432.49105319986,5.997939799912274,6.333600466848174e-06,2.8920761388609174e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58437.51004630001,11.016932900063694,2.7599067246154633e-06,3.176662736735989e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58441.48671300011,14.993599600158632,1.072080504501976e-06,2.574130013431967e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58450.51827549981,24.02516209986061,6.081198054229939e-06,4.628344815832234e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58464.51673609996,38.02362270001322,1.65811705006252e-06,1.806005530104003e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58465.547268500086,39.054155100136995,1.2593752309227296e-06,2.2151456961440565e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58472.524386600126,46.031273200176656,2.436648887650155e-06,2.152440115796012e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58476.54749999987,50.05438659992069,4.584674623634219e-06,6.151169590815558e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58502.4605208002,75.96740740025416,7.559380182313544e-07,6.4938298877794855e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58508.53972220002,82.0466088000685,1.2626638154256115e-05,6.904593902308115e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58546.274409700185,119.78129630023614,1.1346822292253312e-06,2.233084483712495e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58567.25590279978,140.76278939982876,1.9791957433971847e-06,2.2987940532420247e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58575.27364580007,148.78053240012378,5.313414992849232e-07,1.744021591647887e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58600.190844899975,173.69773150002584,3.569129332923804e-06,2.115591204136856e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58605.2347916998,178.741678299848,4.083768221211001e-06,2.453528432169295e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,g.ztf,58608.27746530017,181.78435190021992,2.444278806811194e-06,2.53373876899919e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
