event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020ysg,r.ztf,58426.54271990014,0.0,1.0961481892804836e-07,4.16504203845277e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58432.55340280011,6.010682899970561,3.643738303903867e-06,5.349946307321605e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58438.5561573999,12.013437499757856,2.8576299400680334e-06,3.930138617591211e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58442.52731479984,15.984594899695367,1.3393688623815468e-06,2.6612624718516795e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58448.50211809995,21.959398199804127,3.2264115729167215e-06,5.206167009978005e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58449.52436339995,22.981643499806523,9.394631046272144e-06,4.316341778292748e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58461.537835599855,34.99511569971219,3.4015171125318094e-06,3.090877547904421e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58461.53885419993,34.9961342997849,5.527503527884959e-07,2.870568478816076e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58464.54634260014,38.003622699994594,3.545094632765277e-08,2.390753956286818e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58465.50512730004,38.96240739990026,2.1705025634258135e-08,2.5474682470887566e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58468.51650460018,41.97378470003605,3.156565131407321e-06,2.391270318660295e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58471.541631899774,44.99891199963167,2.7483017330619328e-06,2.9561712514575814e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58474.49887729995,47.956157399807125,2.2777883581301656e-06,5.210968366585222e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58476.5040972,49.961377299856395,3.0888150488276722e-06,4.4183232006239795e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58491.52835649997,64.98563659982756,3.3089215418246314e-06,3.886078437219022e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58505.52718750015,78.98446760000661,9.393936939585478e-06,1.0706141729144456e-05,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58508.47998839989,81.93726849975064,9.208692230934878e-07,6.382100662240505e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020ysg,r.ztf,58559.25415509986,132.7114351997152,6.305285215728703e-06,4.447767941240129e-06,catalog flux units,AT2020ysg.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
