event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020yue,r.ztf,58476.4469444002,0.0,3.400595887114865e-06,6.026516889727195e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58476.50318290014,0.05623849993571639,6.451103711797136e-06,5.005808151458093e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58481.502152800094,5.055208399891853,9.29568952951582e-06,4.009175638566269e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58502.51996529987,26.073020899668336,2.50651789839336e-06,5.741262580052317e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58513.42343749991,36.976493099704385,4.9588609381399527e-08,2.170355674250495e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58559.25325229997,82.80630789976567,4.838876281150765e-06,5.669354695477818e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58567.23381939996,90.78687499975786,2.0038081270222216e-06,2.3643961865923434e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58580.22829859983,103.78135419962928,1.659894923529875e-06,2.9313822314323176e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58583.259166699834,106.81222229963169,3.3295661889351693e-06,3.6590480082755666e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58594.157349499874,117.71040509967133,9.993861180987219e-07,3.372111673986073e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58601.25664350018,124.80969909997657,6.889400926203455e-07,2.633256199262358e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58608.2150347,131.7680902997963,1.3367499996536795e-06,3.296681617493708e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58637.1785995001,160.73165509989485,2.283993166516035e-06,2.8324676862885963e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58648.19702549977,171.7500810995698,1.4922389295671685e-05,9.67186801593225e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58651.23699070001,174.79004629980773,1.0608242705317004e-06,1.0567696875520405e-05,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58767.534548600204,291.0876042000018,1.07208860863745e-06,1.3403192953905868e-05,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58769.526493099984,293.0795486997813,5.389542288601424e-06,9.796838136264626e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58771.52652780013,295.0795833999291,4.549474014579141e-06,1.521117820981933e-05,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020yue,r.ztf,58776.51479170006,300.0678472998552,2.4852408728165203e-06,8.13984124556973e-06,catalog flux units,AT2020yue.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
