event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020zso,B.uvot,59173.046423,0.0,0.00010933,4.424e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59173.174476,0.12805300000036368,0.00016745,5.3686e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59178.391527,5.345103999999992,0.00015867,3.6062e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59180.423151,7.376728000002913,0.00014741,4.8784e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59182.481793,9.435369999999239,0.00014386,3.6886e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59184.270007,11.223583999999391,0.00016713,3.7004e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59191.367207,18.320784000003187,0.00015946,5.9227e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59195.752614,22.70619099999749,0.00021817,5.3903e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59199.201517,26.155094000001554,0.00020344,5.7204e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59204.718329,31.67190600000322,6.5471e-05,5.1065e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59207.176348,34.129925000001094,0.00017868,6.2265e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59211.491906,38.44548300000315,2.8287e-05,5.4872e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59215.540486,42.49406299999828,0.00010229,6.052e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,B.uvot,59341.692684,168.6462610000017,5.9637e-05,5.2624e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
