event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020zso,g.ztf,58472.127419000026,0.0,1.3159318824549471e-05,1.1044817022448602e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58641.4406365999,169.31321759987622,5.598321746282904e-06,3.429484499154854e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58675.44409719994,203.31667819991708,5.790464145271024e-07,2.9484855636579524e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58690.45750000002,218.3300809999928,4.36363712405747e-07,4.4046968936696854e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58694.43054400012,222.30312500009313,5.494109479403596e-06,2.427251360381554e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58694.43144680001,222.30402779998258,3.7623261060621574e-06,2.628794895222523e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58695.378287000116,223.25086800009012,2.95357464468555e-06,3.4887544031372187e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58696.399120400194,224.27170140016824,5.932822703401646e-07,3.0215554960035964e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58699.42456019996,227.2971411999315,3.932512109910637e-06,3.0808352910084877e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58700.37159720017,228.2441782001406,7.617054545803503e-07,2.7009542114887245e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58704.37662040023,232.2492014002055,4.8741752153922206e-06,4.251474228729175e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58706.435347199906,234.30792819987983,9.131272530620682e-08,3.426599248462899e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58717.39859949984,245.27118049981073,2.1273747793146747e-06,6.212455970112719e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,g.ztf,58723.41606480023,251.28864580020308,3.6604193787731767e-06,3.5088468286382933e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
