event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020zso,i.ztf,58733.42484949995,0.0,4.42010631564602e-06,4.28668751962167e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,58748.27424769988,14.849398199934512,2.275464418177231e-06,3.6374876536688294e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,58762.20457179984,28.779722299892455,3.5090618556857268e-06,5.8679490750379196e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,58769.30137730017,35.87652780022472,1.1088763162024714e-05,1.1567093946846504e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59399.43984950008,666.0150000001304,8.225854656127367e-06,4.766211694819142e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59427.38104170002,693.9561922000721,2.5511345540180293e-06,3.4852176825331163e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59439.39780090004,705.9729514000937,8.331224325421002e-06,4.84151724771269e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59458.29403939983,724.8691898998804,1.4253818802097693e-05,4.158965733495024e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59461.315219900105,727.8903704001568,1.000819626340834e-05,3.923802892562111e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59473.2124073999,739.7875578999519,1.1637948484030903e-05,5.541249228804601e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59479.2979282001,745.873078700155,1.0681693292191295e-05,7.890151066051923e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59489.299918999895,755.8750694999471,5.044640380111081e-07,4.858454725289257e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59497.31792820012,763.8930787001736,6.1936313167912134e-06,6.510682936103445e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59512.23528939998,778.8104399000295,1.510279414384493e-06,4.708498166344334e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59521.172268500086,787.7474190001376,4.3245405038227925e-06,4.389325837174551e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59538.108275500126,804.6834260001779,1.1546436835398447e-05,4.687301101593325e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59542.12731479993,808.7024652999826,1.4909102697671646e-06,5.4183673904093636e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59738.444317100104,1005.0194676001556,7.64019856400771e-06,4.263627783916834e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59766.439942100085,1033.015092600137,2.5512247533309184e-07,3.8183640899589305e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59785.37016199995,1051.9453125,7.604937386797337e-06,3.7432691631029012e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59789.31417819997,1055.8893287000246,7.698647373618149e-06,4.480849020889233e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59794.43776619993,1061.0129166999832,2.206938801316104e-06,5.990163930410161e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59809.45393519988,1076.0290856999345,4.405475684984508e-06,4.263225786940155e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59813.37233800022,1079.947488500271,1.426652431672469e-05,3.556359480735886e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59819.31373840012,1085.8888889001682,1.776469845863897e-06,3.442839261392963e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59823.359375,1089.9345255000517,8.20577088148e-09,5.237124408553601e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59842.323078699876,1108.8982291999273,1.2215215103813341e-05,4.108796391088703e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59850.19072919991,1116.7658796999604,1.1739891102095896e-05,4.249504455059195e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59854.24968749983,1120.824837999884,2.260945281875886e-06,3.433258535781414e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59865.27317130007,1131.8483218001202,1.1545960489266755e-05,5.838857458182581e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59869.19510419993,1135.770254699979,1.5640278616313141e-06,5.4465687068546845e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59872.22685190011,1138.8020024001598,1.073201105350298e-06,5.4743944085646284e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59882.10809030011,1148.6832408001646,9.32336383447918e-07,5.097081909754581e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59889.17553240014,1155.750682900194,1.2574413830935782e-06,8.10424868418746e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,59895.235370399896,1161.8105208999477,1.8004902263542277e-05,6.107171425855725e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,60113.40180560015,1379.976956100203,1.218415838872154e-05,4.226106333639012e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,60120.439976899885,1387.0151273999363,2.467412630412154e-06,5.028817464509309e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,60137.4401273001,1404.0152778001502,6.205771755594957e-06,4.206212435951337e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,60145.43979169987,1412.014942199923,7.0331606746152815e-06,3.583376660200824e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,i.ztf,60149.4699074002,1416.04505790025,1.2529127576783462e-05,3.9100919769010116e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
