event,band,time_original_mjd,time_days,flux,flux_err,flux_units,source_json,preprocessing
AT2020zso,r.ztf,58469.06981479982,0.0,2.453395029216262e-06,6.447390121090418e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58490.09135420015,21.021539400331676,9.131854227405164e-06,1.216126465261057e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58491.08829860017,22.018483800347894,1.853199750266142e-05,1.0002397843115406e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58491.0931712999,22.023356500081718,6.293785703597469e-06,7.977393911492366e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58491.0980440001,22.028229200281203,9.151755961510994e-07,9.417257673568009e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58493.08912040014,24.019305600319058,2.3601004681957916e-05,1.2140692754876217e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58666.420231500175,197.3504167003557,2.0928061684851564e-06,3.434361763474238e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58669.41769680008,200.34788200026378,6.747596194486686e-07,3.1909871307530844e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58681.41914349981,212.34932869998738,8.939788614889068e-06,1.045642272863033e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58690.39909720002,221.32928240019828,2.7664514317946044e-06,3.2518569367026572e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58691.39061339991,222.32079860009253,5.840960435415202e-06,3.4266575180774277e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58693.39583329996,224.3260185001418,1.6256462901449485e-06,3.180594986410598e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58694.38709490001,225.31728010019287,8.595575656681678e-07,3.1853240462706414e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58697.39761570003,228.3278009002097,2.5806715552612063e-06,3.547334890552427e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58698.41442129994,229.34460650011897,1.1810001228908113e-05,3.7765971718206457e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58714.37472219998,245.30490740016103,4.860503671610736e-06,7.144949531338767e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58715.36482639983,246.29501160001382,7.4059537992069095e-06,5.656922910916406e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58717.332013899926,248.26219910010695,6.628830824559817e-07,4.892303943193248e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58736.37096060021,267.30114580038935,1.5562174822231454e-05,1.0822540059054417e-05,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58744.36002309993,275.29020830010995,6.277788998929875e-06,6.507738308996862e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58750.27702549985,281.20721070002764,1.126358987171553e-06,5.8259071831412e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
AT2020zso,r.ztf,58781.2436573999,312.1738426000811,2.2573133686165254e-06,9.431361964392968e-06,catalog flux units,AT2020zso.json.txt,positive finite flux/error only; time shifted per band to min(time)=0
