event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2018hyz,g,58405.480409999844,MAGNITUDE,,,18.288869258134792,0.218,False,AT2018hyz.json,0,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58420.48647999996,MAGNITUDE,,,16.459815419056905,0.1565,False,AT2018hyz.json,3,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58432.352736666646,MAGNITUDE,,,16.51513644967472,0.108,False,AT2018hyz.json,13,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58433.50614333339,MAGNITUDE,,,16.335915647864446,0.18033333333333332,False,AT2018hyz.json,14,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58437.5087133334,MAGNITUDE,,,16.261482468584486,0.09333333333333334,False,AT2018hyz.json,30,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58438.50918000005,MAGNITUDE,,,16.392250442799373,0.08700000000000001,False,AT2018hyz.json,31,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58439.47406333344,MAGNITUDE,,,16.378572818331733,0.0775,False,AT2018hyz.json,32,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58440.491121666586,MAGNITUDE,,,16.370807273112355,0.10533333333333333,False,AT2018hyz.json,39,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58441.087890625,MAGNITUDE,,,16.2432095519059,0.04282958246767521,False,AT2018hyz.json,46,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58441.48398833326,MAGNITUDE,,,16.27408816377354,0.08916666666666667,False,AT2018hyz.json,49,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58442.291015625,MAGNITUDE,,,16.263412191036245,0.0308349272236228,False,AT2018hyz.json,52,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58442.51182333349,MAGNITUDE,,,16.442536813000174,0.08,False,AT2018hyz.json,55,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58443.466796875,MAGNITUDE,,,16.269910458544118,0.04268452152609825,False,AT2018hyz.json,63,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58444.513086666666,MAGNITUDE,,,16.271059192692128,0.11499999999999999,False,AT2018hyz.json,73,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58446.076171875,MAGNITUDE,,,16.35529752644947,0.1010812446475029,False,AT2018hyz.json,81,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58449.33203125,MAGNITUDE,,,16.430466214840752,0.07434779778122902,False,AT2018hyz.json,90,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58449.42576000001,MAGNITUDE,,,16.584325444664266,0.17700000000000002,False,AT2018hyz.json,93,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58453.041015625,MAGNITUDE,,,16.477664819648474,0.04673410393297672,False,AT2018hyz.json,100,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58455.021484375,MAGNITUDE,,,16.545628107227326,0.0596886295825243,False,AT2018hyz.json,109,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58464.306640625,MAGNITUDE,,,16.82494865857585,0.03850440494716167,False,AT2018hyz.json,131,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58464.474609375,MAGNITUDE,,,16.75070194217693,0.0521780364215374,False,AT2018hyz.json,140,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58465.521484375,MAGNITUDE,,,16.772147401267645,0.04499588161706924,False,AT2018hyz.json,142,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58468.240234375,MAGNITUDE,,,16.95519622582012,0.03559025749564171,False,AT2018hyz.json,151,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58472.255859375,MAGNITUDE,,,17.031118679991202,0.04396894946694374,False,AT2018hyz.json,154,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58476.064453125,MAGNITUDE,,,17.07684978259697,0.0930992029607296,False,AT2018hyz.json,163,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58476.515625,MAGNITUDE,,,17.01484515651994,0.03901031240820885,False,AT2018hyz.json,166,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58481.322265625,MAGNITUDE,,,17.197417869512197,0.04756406880915165,False,AT2018hyz.json,169,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58484.298828125,MAGNITUDE,,,17.20336999286527,0.06110291182994842,False,AT2018hyz.json,178,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58485.267578125,MAGNITUDE,,,17.314779524849413,0.04833824560046196,False,AT2018hyz.json,187,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58488.330078125,MAGNITUDE,,,17.23519693267376,0.05940119922161102,False,AT2018hyz.json,195,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58492.16796875,MAGNITUDE,,,17.450036145513685,0.02772890962660312,False,AT2018hyz.json,204,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58493.232421875,MAGNITUDE,,,17.45802308881262,0.03273268416523933,False,AT2018hyz.json,207,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58498.357421875,MAGNITUDE,,,17.51967938836123,0.03916774690151214,False,AT2018hyz.json,221,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58510.419921875,MAGNITUDE,,,17.618162610254593,0.04170486330986023,False,AT2018hyz.json,236,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58516.681640625,MAGNITUDE,,,17.74738998160547,0.04107449203729629,False,AT2018hyz.json,245,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58521.50390625,MAGNITUDE,,,17.641189626528362,0.05400871112942695,False,AT2018hyz.json,254,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58525.484375,MAGNITUDE,,,17.814241460634808,0.04180925711989403,False,AT2018hyz.json,269,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58525.693359375,MAGNITUDE,,,17.84452356549853,0.04586274921894073,False,AT2018hyz.json,272,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58526.22265625,MAGNITUDE,,,17.859756521059612,0.04657365381717682,False,AT2018hyz.json,275,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58532.173828125,MAGNITUDE,,,18.090334625532012,0.0444997102022171,False,AT2018hyz.json,278,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58537.982421875,MAGNITUDE,,,18.053836692172982,0.0626969076693058,False,AT2018hyz.json,287,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58543.51171875,MAGNITUDE,,,18.09581196069392,0.04770787432789802,False,AT2018hyz.json,296,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58547.30859375,MAGNITUDE,,,18.044347814394573,0.05304278060793876,False,AT2018hyz.json,304,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58549.240234375,MAGNITUDE,,,18.115938021206908,0.05872988142073154,False,AT2018hyz.json,307,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58555.919921875,MAGNITUDE,,,18.22738619244861,0.06409177370369434,False,AT2018hyz.json,316,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58563.189453125,MAGNITUDE,,,18.290036078825434,0.05726151168346405,False,AT2018hyz.json,321,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58569.1796875,MAGNITUDE,,,18.47891982471834,0.05435632169246673,False,AT2018hyz.json,324,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58574.130859375,MAGNITUDE,,,18.468864517667395,0.05546292848885059,False,AT2018hyz.json,327,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58574.87109375,MAGNITUDE,,,18.417469962263493,0.07824916765093803,False,AT2018hyz.json,330,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58577.26953125,MAGNITUDE,,,18.56011205084477,0.04912449046969414,False,AT2018hyz.json,333,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58581.138671875,MAGNITUDE,,,18.60912569426248,0.05577549897134304,False,AT2018hyz.json,341,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58584.16015625,MAGNITUDE,,,18.70924191839848,0.05832237005233764,False,AT2018hyz.json,349,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58586.509765625,MAGNITUDE,,,18.75909825122258,0.05606401152908802,False,AT2018hyz.json,357,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58593.1171875,MAGNITUDE,,,18.95636193162551,0.07951591536402702,False,AT2018hyz.json,360,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58594.2734375,MAGNITUDE,,,18.82206159002934,0.04119063913822174,False,AT2018hyz.json,363,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58599.083984375,MAGNITUDE,,,18.761389835825494,0.07180963829159737,False,AT2018hyz.json,366,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58599.203125,MAGNITUDE,,,18.909460119082073,0.05350175872445106,False,AT2018hyz.json,369,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58601.21875,MAGNITUDE,,,18.94336514837895,0.05100077018141746,False,AT2018hyz.json,373,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58603.23828125,MAGNITUDE,,,19.00513272650395,0.06171853840351105,False,AT2018hyz.json,376,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58604.234375,MAGNITUDE,,,19.009172490908245,0.05974835902452469,False,AT2018hyz.json,378,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58605.07421875,MAGNITUDE,,,18.85766966294561,0.08060545846819878,False,AT2018hyz.json,382,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58606.2734375,MAGNITUDE,,,19.005504659487347,0.05085386708378792,False,AT2018hyz.json,385,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2018hyz,g,58617.79296875,MAGNITUDE,,,19.048567306538214,0.1733100786805153,False,AT2018hyz.json,388,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
