event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2019qiz,g,58746.5,MAGNITUDE,,,17.63,0.05,False,AT2019qiz.json,14,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58746.5036227,MAGNITUDE,,,17.63,0.05,False,AT2019qiz.json,15,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58748.52,MAGNITUDE,,,17.25,0.04,False,AT2019qiz.json,17,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58749.47,MAGNITUDE,,,17.12,0.04,False,AT2019qiz.json,18,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58751.49,MAGNITUDE,,,16.92,0.03,False,AT2019qiz.json,20,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58752.26,MAGNITUDE,,,16.77,0.03,False,AT2019qiz.json,22,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58756.42,MAGNITUDE,,,16.46,0.03,False,AT2019qiz.json,34,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58758.34,MAGNITUDE,,,16.23,0.04,False,AT2019qiz.json,40,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58759.43,MAGNITUDE,,,16.04,0.04,False,AT2019qiz.json,44,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58762.26,MAGNITUDE,,,15.84,0.03,False,AT2019qiz.json,49,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58763.45,MAGNITUDE,,,15.78,0.02,False,AT2019qiz.json,57,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58766.31,MAGNITUDE,,,15.86,0.06,False,AT2019qiz.json,64,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58766.4,MAGNITUDE,,,15.83,0.03,False,AT2019qiz.json,67,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58769.93,MAGNITUDE,,,15.92,0.1,False,AT2019qiz.json,76,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58772.33,MAGNITUDE,,,16.02,0.03,False,AT2019qiz.json,87,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58775.43,MAGNITUDE,,,16.14,0.03,False,AT2019qiz.json,95,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58778.31,MAGNITUDE,,,16.26,0.04,False,AT2019qiz.json,97,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58781.41,MAGNITUDE,,,16.45,0.04,False,AT2019qiz.json,105,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58786.35,MAGNITUDE,,,16.58,0.06,False,AT2019qiz.json,117,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58787.43,MAGNITUDE,,,16.73,0.04,False,AT2019qiz.json,124,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58790.08,MAGNITUDE,,,16.79,0.03,False,AT2019qiz.json,127,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58790.33,MAGNITUDE,,,16.83,0.04,False,AT2019qiz.json,130,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58793.35,MAGNITUDE,,,16.95,0.04,False,AT2019qiz.json,135,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58794.55,MAGNITUDE,,,17.01,0.04,False,AT2019qiz.json,138,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58798.1,MAGNITUDE,,,17.26,0.12,False,AT2019qiz.json,147,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58800.23,MAGNITUDE,,,17.2,0.06,False,AT2019qiz.json,156,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58802.47,MAGNITUDE,,,17.3,0.04,False,AT2019qiz.json,157,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58803.22,MAGNITUDE,,,17.27,0.14,False,AT2019qiz.json,165,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58806.3,MAGNITUDE,,,17.43,0.05,False,AT2019qiz.json,171,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58806.37,MAGNITUDE,,,17.44,0.06,False,AT2019qiz.json,175,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58811.84,MAGNITUDE,,,17.64,0.04,False,AT2019qiz.json,181,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58812.33,MAGNITUDE,,,17.69,0.05,False,AT2019qiz.json,185,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58820.02,MAGNITUDE,,,17.93,0.04,False,AT2019qiz.json,196,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58820.22,MAGNITUDE,,,17.91,0.13,False,AT2019qiz.json,199,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58821.72,MAGNITUDE,,,18.06,0.03,False,AT2019qiz.json,205,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58825.44,MAGNITUDE,,,18.18,0.13,False,AT2019qiz.json,210,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58832.9,MAGNITUDE,,,18.41,0.05,False,AT2019qiz.json,221,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58833.2,MAGNITUDE,,,18.23,0.1,False,AT2019qiz.json,224,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58837.05,MAGNITUDE,,,18.54,0.05,False,AT2019qiz.json,232,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58840.82,MAGNITUDE,,,18.64,0.06,False,AT2019qiz.json,236,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58849.22,MAGNITUDE,,,18.81,0.06,False,AT2019qiz.json,246,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58852.79,MAGNITUDE,,,19.03,0.1,False,AT2019qiz.json,255,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58856.81,MAGNITUDE,,,19.23,0.11,False,AT2019qiz.json,259,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58863.14,MAGNITUDE,,,19.42,0.14,False,AT2019qiz.json,275,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58867.18,MAGNITUDE,,,19.17,0.12,False,AT2019qiz.json,277,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58875.17,MAGNITUDE,,,19.17,0.15,False,AT2019qiz.json,293,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,g,58877.85,MAGNITUDE,,,19.71,0.08,False,AT2019qiz.json,296,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
