event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2019qiz,i,58752.27,MAGNITUDE,,,17.12,0.04,False,AT2019qiz.json,24,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58758.35,MAGNITUDE,,,16.45,0.03,False,AT2019qiz.json,42,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58762.26,MAGNITUDE,,,16.07,0.04,False,AT2019qiz.json,50,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58766.32,MAGNITUDE,,,16.0,0.04,False,AT2019qiz.json,66,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58769.94,MAGNITUDE,,,16.17,0.04,False,AT2019qiz.json,77,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58775.6,MAGNITUDE,,,16.08,0.03,False,AT2019qiz.json,96,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58786.36,MAGNITUDE,,,16.82,0.05,False,AT2019qiz.json,119,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58790.09,MAGNITUDE,,,16.85,0.05,False,AT2019qiz.json,128,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58794.56,MAGNITUDE,,,17.17,0.05,False,AT2019qiz.json,140,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58798.11,MAGNITUDE,,,17.17,0.05,False,AT2019qiz.json,149,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,i,58802.48,MAGNITUDE,,,17.58,0.12,False,AT2019qiz.json,158,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
