event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2019qiz,r,58745.49,MAGNITUDE,,,17.81,0.07,False,AT2019qiz.json,11,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58745.4998032,MAGNITUDE,,,17.8184,0.0682373,False,AT2019qiz.json,12,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58745.4998148,MAGNITUDE,,,17.82,0.07,False,AT2019qiz.json,13,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58748.48,MAGNITUDE,,,17.42,0.05,False,AT2019qiz.json,16,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58751.5,MAGNITUDE,,,17.0,0.03,False,AT2019qiz.json,21,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58752.26,MAGNITUDE,,,17.01,0.02,False,AT2019qiz.json,23,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58758.34,MAGNITUDE,,,16.31,0.02,False,AT2019qiz.json,41,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58762.26,MAGNITUDE,,,15.95,0.02,False,AT2019qiz.json,51,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58763.49,MAGNITUDE,,,15.81,0.03,False,AT2019qiz.json,58,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58766.31,MAGNITUDE,,,15.89,0.04,False,AT2019qiz.json,65,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58766.48,MAGNITUDE,,,15.82,0.03,False,AT2019qiz.json,68,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
AT2019qiz,r,58769.43,MAGNITUDE,,,15.92,0.03,False,AT2019qiz.json,75,finite(magnitude) AND finite(magnitude_error) AND magnitude_error > 0 AND non-upper-limit where available,True,Native magnitude measurement eligible under DEC-006; no magnitude-to-flux conversion or temporal fitting window applied.
