event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020wey,W2,56954.72054806,FLUX,3.627883286047398e-06,1.6692631812895688e-05,,,,AT2020wey.json,1564,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,57122.145042865,FLUX,3.436541401954901e-05,1.58510459435441e-05,,,,AT2020wey.json,1565,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,57316.59601323,FLUX,-5.980515445713425e-06,1.441487818312038e-05,,,,AT2020wey.json,1566,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,57481.170725485,FLUX,5.410107464041694e-06,1.5479082506833077e-05,,,,AT2020wey.json,1567,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,57680.81573589,FLUX,-2.1116359315345417e-05,1.5639293648707618e-05,,,,AT2020wey.json,1568,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,57841.786494839995,FLUX,1.9036841604746368e-07,1.4637387755420924e-05,,,,AT2020wey.json,1569,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,58047.741820844996,FLUX,4.449831991192529e-06,1.7629338138338798e-05,,,,AT2020wey.json,1570,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,58202.922340185,FLUX,1.9757248878638822e-05,1.2523498175271231e-05,,,,AT2020wey.json,1571,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,58412.01375277,FLUX,-3.435087338779268e-05,1.4859125973770924e-05,,,,AT2020wey.json,1572,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,58569.35777471,FLUX,4.553088747774015e-06,1.4931600026724013e-05,,,,AT2020wey.json,1573,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,58776.80676638,FLUX,-5.51436274231231e-06,1.1772040478753237e-05,,,,AT2020wey.json,1574,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,58933.608809645,FLUX,-6.111317266206727e-06,1.3793174161035843e-05,,,,AT2020wey.json,1575,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,59143.278646855004,FLUX,-1.521723646770762e-05,1.564170868272326e-05,,,,AT2020wey.json,1576,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,59300.63709439,FLUX,-8.322998197817966e-06,1.6388097347634768e-05,,,,AT2020wey.json,1577,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,59507.412653139996,FLUX,1.8110749419950058e-05,1.5493357369228477e-05,,,,AT2020wey.json,1578,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,59664.77185063,FLUX,-3.841606802790155e-05,1.497859000836794e-05,,,,AT2020wey.json,1579,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,59874.46088674,FLUX,-1.8700756320372565e-05,1.5339759175224062e-05,,,,AT2020wey.json,1580,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,60029.019514975,FLUX,1.787780360747268e-05,1.3775386830409331e-05,,,,AT2020wey.json,1581,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,60238.77831197,FLUX,-6.1020955916835795e-06,1.7342790964315113e-05,,,,AT2020wey.json,1582,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,W2,60396.10768027,FLUX,3.1256600002262875e-06,1.5734407982345507e-05,,,,AT2020wey.json,1583,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
