event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020wey,g,58422.47346059978,FLUX,2.45987567827789e-06,5.8928812512242314e-06,,,,AT2020wey.json,0,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58422.47437500022,FLUX,-1.8968570793613496e-06,5.9424214011440025e-06,,,,AT2020wey.json,1,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58423.47309029987,FLUX,5.52038065776987e-06,5.185036561066556e-06,,,,AT2020wey.json,4,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58425.51209490001,FLUX,3.6490380974702318e-06,3.8531527965756615e-06,,,,AT2020wey.json,9,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58425.51302079996,FLUX,-1.6345946168918782e-06,4.211920102215728e-06,,,,AT2020wey.json,10,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58426.451273099985,FLUX,-7.338208188662989e-06,3.3021530956390005e-06,,,,AT2020wey.json,11,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58427.51491900021,FLUX,6.380480460571073e-06,3.2027011146146455e-06,,,,AT2020wey.json,14,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58428.53129629977,FLUX,4.91079482591237e-06,2.7249875616629746e-06,,,,AT2020wey.json,17,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58428.532222200185,FLUX,3.3174496542421694e-06,2.582649052386622e-06,,,,AT2020wey.json,18,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58429.45197919989,FLUX,3.3946441216136207e-06,2.657521986832817e-06,,,,AT2020wey.json,20,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58430.3880671002,FLUX,6.885895156413004e-07,3.277583358230421e-06,,,,AT2020wey.json,21,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58430.511088000145,FLUX,7.206473381827702e-06,2.431635019599708e-06,,,,AT2020wey.json,23,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58431.49245369993,FLUX,3.1116596021315285e-06,4.407117562834844e-06,,,,AT2020wey.json,24,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58431.494884300046,FLUX,-3.3179672227663134e-06,4.52267422570902e-06,,,,AT2020wey.json,25,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58432.46334489994,FLUX,3.26034929975279e-06,3.1653981130390677e-06,,,,AT2020wey.json,28,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58434.42306709988,FLUX,9.945305464739099e-06,4.805851322288998e-06,,,,AT2020wey.json,30,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58434.424074099865,FLUX,6.310877097700361e-06,4.758478866631459e-06,,,,AT2020wey.json,31,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58437.49832180003,FLUX,-3.427377052939715e-06,3.853626503152192e-06,,,,AT2020wey.json,36,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58437.49923609989,FLUX,2.0013775401565083e-06,3.9228202341276355e-06,,,,AT2020wey.json,37,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58438.473263899796,FLUX,2.142077538479586e-06,2.9071203687589714e-06,,,,AT2020wey.json,38,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58441.473541699816,FLUX,4.2403892234660905e-06,2.7825424888094975e-06,,,,AT2020wey.json,42,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58443.514050900005,FLUX,9.15830622859497e-08,3.925219615842994e-06,,,,AT2020wey.json,46,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58443.51496529998,FLUX,3.3710757145678467e-06,3.98449249772883e-06,,,,AT2020wey.json,47,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58450.4712731,FLUX,1.7922793701489479e-06,5.256880296663115e-06,,,,AT2020wey.json,55,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58450.47505789995,FLUX,6.113400836463821e-06,4.8918322264017606e-06,,,,AT2020wey.json,56,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58457.2862383998,FLUX,-1.363938654160749e-06,4.748996671030498e-06,,,,AT2020wey.json,58,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58464.47348379996,FLUX,2.08370237338133e-06,3.0699359594210894e-06,,,,AT2020wey.json,59,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58465.53510419978,FLUX,-1.179109172787475e-06,3.1216194957739886e-06,,,,AT2020wey.json,62,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58465.536018500105,FLUX,-2.386006092446178e-06,3.292122529712441e-06,,,,AT2020wey.json,63,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58468.45208329987,FLUX,-7.60810371886286e-07,2.6095924062351357e-06,,,,AT2020wey.json,64,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58468.452997699846,FLUX,3.101211777940509e-07,2.5470355456840105e-06,,,,AT2020wey.json,65,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58469.494328700006,FLUX,-4.890942573533522e-06,2.6185930204698753e-06,,,,AT2020wey.json,68,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58472.50773150008,FLUX,-3.1146821424605024e-06,4.8930349995814915e-06,,,,AT2020wey.json,71,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58472.50958329998,FLUX,8.27395349558777e-06,4.917598396741309e-06,,,,AT2020wey.json,72,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58475.531979199965,FLUX,1.4194604194823194e-06,9.624873497548926e-06,,,,AT2020wey.json,73,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58475.53618060006,FLUX,5.717084890376215e-06,1.0371029578627321e-05,,,,AT2020wey.json,74,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58480.49017360015,FLUX,2.3515642119768998e-07,5.986975176322803e-06,,,,AT2020wey.json,78,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58482.50020830007,FLUX,-2.930500131420865e-06,4.412480379913099e-06,,,,AT2020wey.json,80,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58482.55081020016,FLUX,-8.738469653493079e-07,4.954192582873461e-06,,,,AT2020wey.json,81,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,g,58486.42795140017,FLUX,-5.857343074019164e-06,4.626806017292358e-06,,,,AT2020wey.json,82,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
