event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020wey,r,58422.52891199989,FLUX,7.005085040378452e-06,6.0473508567369216e-06,,,,AT2020wey.json,2,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58422.529872700106,FLUX,5.949062610276444e-06,6.032558276688697e-06,,,,AT2020wey.json,3,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58423.509039400145,FLUX,-2.229160521016532e-06,5.66776085675387e-06,,,,AT2020wey.json,5,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58424.533680600114,FLUX,-2.2924533902094657e-07,5.25128046959982e-06,,,,AT2020wey.json,6,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58425.49300929997,FLUX,1.2283751931892044e-05,6.148349983352527e-06,,,,AT2020wey.json,7,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58425.49392359983,FLUX,1.6467134739387335e-06,6.102098136308995e-06,,,,AT2020wey.json,8,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58426.513472199906,FLUX,-7.43173712092762e-06,4.259887879693843e-06,,,,AT2020wey.json,12,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58427.48734949995,FLUX,5.164892700049535e-06,6.205726587058913e-06,,,,AT2020wey.json,13,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58428.51223379979,FLUX,1.5247482738809154e-06,4.349149255665737e-06,,,,AT2020wey.json,15,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58428.513148100115,FLUX,1.3475229981192468e-06,4.158125275896714e-06,,,,AT2020wey.json,16,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58429.41200229991,FLUX,6.185327813784498e-07,4.021962655232337e-06,,,,AT2020wey.json,19,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58430.490046299994,FLUX,1.426048418693433e-06,4.129588641921647e-06,,,,AT2020wey.json,22,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58431.53155090008,FLUX,4.639630956992427e-06,7.170516909953344e-06,,,,AT2020wey.json,26,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58431.53246530006,FLUX,2.01796256043654e-05,8.490127319255531e-06,,,,AT2020wey.json,27,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58432.51379630016,FLUX,3.7121944076751843e-06,4.5633279243200074e-06,,,,AT2020wey.json,29,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58434.4646528,FLUX,2.5893248621606153e-06,6.666359332336878e-06,,,,AT2020wey.json,32,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58434.46556709986,FLUX,1.3178798154507166e-05,7.159192799173115e-06,,,,AT2020wey.json,33,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58437.3879976999,FLUX,3.7989038737378734e-06,6.023298021855084e-06,,,,AT2020wey.json,34,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58437.38986109989,FLUX,-3.031786626512223e-06,5.694192542037595e-06,,,,AT2020wey.json,35,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58438.530023099855,FLUX,5.738914692589759e-06,4.272918182452431e-06,,,,AT2020wey.json,39,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58440.53209490003,FLUX,-5.70971938402236e-06,3.937110973010732e-06,,,,AT2020wey.json,40,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58440.53300930001,FLUX,9.735869640742374e-06,4.354255051045749e-06,,,,AT2020wey.json,41,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58442.53151619993,FLUX,5.0395580201526825e-06,4.477179253800533e-06,,,,AT2020wey.json,43,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58443.4465855998,FLUX,8.688465242183949e-06,6.4532130537171634e-06,,,,AT2020wey.json,44,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58443.44749999978,FLUX,3.3502278511900908e-06,6.086995467752856e-06,,,,AT2020wey.json,45,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58447.430705999956,FLUX,5.809264101883674e-06,8.985790237993643e-06,,,,AT2020wey.json,48,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58447.5119097,FLUX,1.0593117589969112e-05,8.52103034352738e-06,,,,AT2020wey.json,49,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58447.51282409998,FLUX,-1.1191271628674645e-05,9.189086103844101e-06,,,,AT2020wey.json,50,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58448.432407400105,FLUX,1.4169862657205523e-06,6.388428635336409e-06,,,,AT2020wey.json,51,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020wey,r,58448.44303240022,FLUX,6.950918676036206e-06,8.06355314092088e-06,,,,AT2020wey.json,52,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
