event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020ysg,W2,56806.16809949,FLUX,2.5492217916739062e-05,1.8626950530536298e-05,,,,AT2020ysg.json,1068,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,56996.043039775,FLUX,6.536563846999465e-06,1.6933476104608787e-05,,,,AT2020ysg.json,1069,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,57164.96826213,FLUX,-2.127128889274724e-05,1.7839382352609446e-05,,,,AT2020ysg.json,1070,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,57360.473476015,FLUX,7.781735142726196e-06,1.4935181609092651e-05,,,,AT2020ysg.json,1071,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,57526.806827395005,FLUX,-1.0795036730773937e-05,1.682855375058849e-05,,,,AT2020ysg.json,1072,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,57725.230947195,FLUX,1.0389715737250314e-05,1.607757291181465e-05,,,,AT2020ysg.json,1073,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,57887.322096,FLUX,-9.31241645969993e-06,1.519750829772398e-05,,,,AT2020ysg.json,1074,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,58089.3802085,FLUX,4.549749958837322e-05,1.864657474144963e-05,,,,AT2020ysg.json,1075,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,58247.7792636,FLUX,-1.4389617089033353e-05,1.5884124636938403e-05,,,,AT2020ysg.json,1076,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,58456.41650621,FLUX,-1.2704258065579969e-05,1.7013951166130445e-05,,,,AT2020ysg.json,1077,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,58612.00707845,FLUX,-1.2602849148138442e-05,1.6694880874233656e-05,,,,AT2020ysg.json,1078,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,58820.57345153,FLUX,-2.7924438296253354e-06,1.6216833342433422e-05,,,,AT2020ysg.json,1079,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,58978.85891881,FLUX,1.4238185153015253e-05,1.7085213466816435e-05,,,,AT2020ysg.json,1080,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,59185.03460178,FLUX,3.615223913701968e-05,1.503249827941084e-05,,,,AT2020ysg.json,1081,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,59343.15324826,FLUX,1.3926221165929441e-05,1.685559352402412e-05,,,,AT2020ysg.json,1082,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,59551.91681451,FLUX,5.1579428421518105e-05,1.9068618274012843e-05,,,,AT2020ysg.json,1083,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,59707.72296006,FLUX,5.4780777422298053e-05,1.5154715961849061e-05,,,,AT2020ysg.json,1084,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,59915.97587665,FLUX,0.00010028977583357982,1.954764088590877e-05,,,,AT2020ysg.json,1085,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,60074.525283075,FLUX,7.882314574291662e-05,1.7194777202655042e-05,,,,AT2020ysg.json,1086,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,60280.28426009,FLUX,0.00014792856425089609,2.735319123452761e-05,,,,AT2020ysg.json,1087,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,W2,60438.61998174,FLUX,8.994306322945183e-05,1.6281979572812112e-05,,,,AT2020ysg.json,1088,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
