event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020ysg,g,58423.496099499986,FLUX,-8.579779389626245e-06,6.886230136498144e-06,,,,AT2020ysg.json,0,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58426.49311339995,FLUX,3.098480764632667e-06,3.189688443776132e-06,,,,AT2020ysg.json,1,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58429.48810190009,FLUX,-4.8363429586974875e-06,2.3511129953038447e-06,,,,AT2020ysg.json,3,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58432.49105319986,FLUX,6.333600466848174e-06,2.8920761388609174e-06,,,,AT2020ysg.json,4,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58437.51004630001,FLUX,2.7599067246154633e-06,3.176662736735989e-06,,,,AT2020ysg.json,6,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58438.485949099995,FLUX,-1.605860462317961e-06,2.228743310093558e-06,,,,AT2020ysg.json,7,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58438.486863399856,FLUX,-3.351054211424688e-06,2.3567144819439718e-06,,,,AT2020ysg.json,8,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58441.48671300011,FLUX,1.072080504501976e-06,2.574130013431967e-06,,,,AT2020ysg.json,12,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58441.48762729997,FLUX,-2.8440322968675274e-06,2.409199599176188e-06,,,,AT2020ysg.json,13,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58450.50377310021,FLUX,-1.0875865174253715e-05,4.4923892852737614e-06,,,,AT2020ysg.json,21,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58450.51827549981,FLUX,6.081198054229939e-06,4.628344815832234e-06,,,,AT2020ysg.json,22,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58464.51673609996,FLUX,1.65811705006252e-06,1.806005530104003e-06,,,,AT2020ysg.json,27,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58464.51765049994,FLUX,-2.0587965095248534e-06,1.929939255743296e-06,,,,AT2020ysg.json,28,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58465.547268500086,FLUX,1.2593752309227296e-06,2.2151456961440565e-06,,,,AT2020ysg.json,32,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58472.52347220015,FLUX,-1.4427075666057123e-06,1.98762060596012e-06,,,,AT2020ysg.json,35,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58472.524386600126,FLUX,2.436648887650155e-06,2.152440115796012e-06,,,,AT2020ysg.json,36,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58476.54749999987,FLUX,4.584674623634219e-06,6.151169590815558e-06,,,,AT2020ysg.json,39,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58480.49729169998,FLUX,-1.921170169453644e-06,4.945850451986298e-06,,,,AT2020ysg.json,40,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58486.541527799796,FLUX,-1.0327277677718943e-06,2.632063707424991e-06,,,,AT2020ysg.json,42,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58491.47418980021,FLUX,-1.7476352947788355e-06,2.9047566286793936e-06,,,,AT2020ysg.json,43,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58494.47670139978,FLUX,-1.081865048075758e-06,1.7852385809986955e-06,,,,AT2020ysg.json,46,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58502.4605208002,FLUX,7.559380182313544e-07,6.4938298877794855e-06,,,,AT2020ysg.json,47,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58505.45423609996,FLUX,-2.2163350996243325e-05,9.936993868676087e-06,,,,AT2020ysg.json,49,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58508.53972220002,FLUX,1.2626638154256115e-05,6.904593902308115e-06,,,,AT2020ysg.json,52,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58511.44155090023,FLUX,-2.6427683305961647e-06,2.784506046627663e-06,,,,AT2020ysg.json,54,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58526.44076390006,FLUX,-4.084772710343887e-06,3.113465356413066e-06,,,,AT2020ysg.json,55,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58546.274409700185,FLUX,1.1346822292253312e-06,2.233084483712495e-06,,,,AT2020ysg.json,56,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58567.25590279978,FLUX,1.9791957433971847e-06,2.2987940532420247e-06,,,,AT2020ysg.json,60,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58575.27364580007,FLUX,5.313414992849232e-07,1.744021591647887e-06,,,,AT2020ysg.json,61,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58580.25400459999,FLUX,-2.3375592011744714e-06,2.119451248102051e-06,,,,AT2020ysg.json,63,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58586.172569400165,FLUX,-5.799427063931335e-06,3.783015415722518e-06,,,,AT2020ysg.json,66,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58591.20981479995,FLUX,-8.874739321400055e-06,7.96850815727049e-06,,,,AT2020ysg.json,68,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,g,58597.25319440011,FLUX,-2.9591494053103602e-06,2.27498294554053e-06,,,,AT2020ysg.json,70,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
