event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020ysg,i,58582.30288190022,FLUX,-6.522962127395454e-06,2.944118267120576e-06,,,,AT2020ysg.json,64,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58806.51909720013,FLUX,-9.581958438191578e-06,7.082680831321909e-06,,,,AT2020ysg.json,123,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58806.52000000002,FLUX,1.8586995486200585e-06,5.7182479707015244e-06,,,,AT2020ysg.json,124,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58806.52045139996,FLUX,-3.4699902472082707e-06,5.1750885126485e-06,,,,AT2020ysg.json,125,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58806.52090279991,FLUX,-1.8909791591006718e-07,5.212858102117548e-06,,,,AT2020ysg.json,126,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58806.52135419985,FLUX,-1.7410517528715326e-06,5.017693572457415e-06,,,,AT2020ysg.json,127,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58806.5218055998,FLUX,1.644700756432207e-07,5.098641963290282e-06,,,,AT2020ysg.json,128,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58806.52225690009,FLUX,-1.644700756432207e-07,5.390053228145342e-06,,,,AT2020ysg.json,129,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58806.522708300035,FLUX,3.42013296540399e-06,5.3871939007697625e-06,,,,AT2020ysg.json,130,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58855.377766199876,FLUX,2.991926345538977e-06,4.09522322483338e-06,,,,AT2020ysg.json,144,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58855.397407399956,FLUX,-5.029952558642099e-07,3.522406939248939e-06,,,,AT2020ysg.json,145,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58859.384166699834,FLUX,7.842753901528327e-06,6.403091754116308e-06,,,,AT2020ysg.json,149,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58859.39762730012,FLUX,8.034828804829804e-07,6.048212609655597e-06,,,,AT2020ysg.json,150,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58907.31776619982,FLUX,1.314659659149055e-05,6.487201953377265e-06,,,,AT2020ysg.json,305,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58955.33755790023,FLUX,-1.9444115038159336e-06,3.699398642899263e-06,,,,AT2020ysg.json,343,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,58955.35644679982,FLUX,-3.3989555843096926e-08,3.368767276821332e-06,,,,AT2020ysg.json,344,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,59189.53078699997,FLUX,4.651367740105958e-05,4.107300200417623e-06,,,,AT2020ysg.json,439,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,59199.48995369999,FLUX,4.40968547362291e-05,4.5053283185651636e-06,,,,AT2020ysg.json,446,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,59202.44449070003,FLUX,5.593355087700033e-05,4.790561671723414e-06,,,,AT2020ysg.json,447,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,59216.47722220002,FLUX,5.040306892536865e-05,5.481294028395569e-06,,,,AT2020ysg.json,452,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,59219.39386569988,FLUX,4.863308870126714e-05,5.525388088532834e-06,,,,AT2020ysg.json,453,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,59222.43468749989,FLUX,4.006959243953531e-05,4.3456931774925224e-06,,,,AT2020ysg.json,457,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,59225.4349769,FLUX,4.099319218134853e-05,4.791680762866562e-06,,,,AT2020ysg.json,461,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,59228.531377300154,FLUX,4.322315066240127e-05,3.0452839718493554e-06,,,,AT2020ysg.json,464,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,i,59231.50662040012,FLUX,3.600093728188366e-05,2.8599079538223643e-06,,,,AT2020ysg.json,468,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
