event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020ysg,r,58426.54271990014,FLUX,1.0961481892804836e-07,4.16504203845277e-06,,,,AT2020ysg.json,2,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58432.55340280011,FLUX,3.643738303903867e-06,5.349946307321605e-06,,,,AT2020ysg.json,5,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58438.5561573999,FLUX,2.8576299400680334e-06,3.930138617591211e-06,,,,AT2020ysg.json,9,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58438.55707179988,FLUX,-1.7272581523648738e-06,4.242019691781699e-06,,,,AT2020ysg.json,10,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58440.52420140011,FLUX,-5.343650978605856e-07,2.3919529052962365e-06,,,,AT2020ysg.json,11,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58442.52731479984,FLUX,1.3393688623815468e-06,2.6612624718516795e-06,,,,AT2020ysg.json,14,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58443.47712960001,FLUX,-6.405153809198868e-06,4.499875906967643e-06,,,,AT2020ysg.json,15,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58447.489131900016,FLUX,-5.584464003380523e-06,5.790717858849789e-06,,,,AT2020ysg.json,16,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58447.490046299994,FLUX,-1.1458825808374571e-05,5.744686292182499e-06,,,,AT2020ysg.json,17,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58448.50211809995,FLUX,3.2264115729167215e-06,5.206167009978005e-06,,,,AT2020ysg.json,18,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58448.545856500044,FLUX,-3.2309447999818495e-06,4.766167160666718e-06,,,,AT2020ysg.json,19,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58449.52436339995,FLUX,9.394631046272144e-06,4.316341778292748e-06,,,,AT2020ysg.json,20,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58450.543819400016,FLUX,-1.9002306013813806e-07,3.7078163341496073e-06,,,,AT2020ysg.json,23,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58455.46438660007,FLUX,-2.488536059658437e-06,3.2760772509601543e-06,,,,AT2020ysg.json,24,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58461.537835599855,FLUX,3.4015171125318094e-06,3.090877547904421e-06,,,,AT2020ysg.json,25,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58461.53885419993,FLUX,5.527503527884959e-07,2.870568478816076e-06,,,,AT2020ysg.json,26,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58464.5402199002,FLUX,-2.9397691386938444e-06,1.968842388213341e-06,,,,AT2020ysg.json,29,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58464.54634260014,FLUX,3.545094632765277e-08,2.390753956286818e-06,,,,AT2020ysg.json,30,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58465.50512730004,FLUX,2.1705025634258135e-08,2.5474682470887566e-06,,,,AT2020ysg.json,31,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58468.51650460018,FLUX,3.156565131407321e-06,2.391270318660295e-06,,,,AT2020ysg.json,33,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58471.541631899774,FLUX,2.7483017330619328e-06,2.9561712514575814e-06,,,,AT2020ysg.json,34,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58474.49887729995,FLUX,2.2777883581301656e-06,5.210968366585222e-06,,,,AT2020ysg.json,37,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58476.5040972,FLUX,3.0888150488276722e-06,4.4183232006239795e-06,,,,AT2020ysg.json,38,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58486.483981499914,FLUX,-2.5999745782602754e-06,2.319478979681968e-06,,,,AT2020ysg.json,41,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020ysg,r,58491.52835649997,FLUX,3.3089215418246314e-06,3.886078437219022e-06,,,,AT2020ysg.json,44,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
