event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020yue,W1,56803.40296148,FLUX,2.7215571227134983e-05,8.523809488393627e-06,,,,AT2020yue.json,529,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,56993.64551672,FLUX,-2.997041055866377e-05,8.398909966786065e-06,,,,AT2020yue.json,530,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,57162.309004905,FLUX,2.9786308598373285e-05,8.705191203102657e-06,,,,AT2020yue.json,531,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,57355.49123189,FLUX,-1.674214486475488e-05,1.0558738523315495e-05,,,,AT2020yue.json,532,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,57521.563685785004,FLUX,2.2158347544223276e-05,6.386662817964622e-06,,,,AT2020yue.json,533,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,57722.71066862,FLUX,-3.372955132242752e-05,9.25658995563753e-06,,,,AT2020yue.json,534,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,57884.63615678,FLUX,1.4292819757324555e-05,9.14615122318201e-06,,,,AT2020yue.json,535,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,58086.89418846,FLUX,-2.434528941176404e-05,8.55422691343451e-06,,,,AT2020yue.json,536,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,58245.12694182,FLUX,-9.404231548430466e-06,8.20001335280633e-06,,,,AT2020yue.json,537,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,58453.6370358,FLUX,-2.3225061014094685e-05,7.6898654908197e-06,,,,AT2020yue.json,538,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,58609.32355965,FLUX,1.3142366730081152e-05,8.482582375868214e-06,,,,AT2020yue.json,539,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,58817.991164705,FLUX,-2.619811580849698e-05,1.1875896175450791e-05,,,,AT2020yue.json,540,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,58976.4051173,FLUX,2.4998811757452964e-05,8.469326845006915e-06,,,,AT2020yue.json,541,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,59182.387754945,FLUX,-1.099503653464788e-05,9.019874065831272e-06,,,,AT2020yue.json,542,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,59340.53721965,FLUX,2.1688198665088794e-05,8.33166649961873e-06,,,,AT2020yue.json,543,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,59549.500640585,FLUX,-2.064872749202768e-05,9.208475794843498e-06,,,,AT2020yue.json,544,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,59704.78438187,FLUX,4.984047518053608e-06,8.896394614750818e-06,,,,AT2020yue.json,545,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,59913.501500935,FLUX,-4.327406746453247e-05,9.220911161163602e-06,,,,AT2020yue.json,546,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,60071.861436064995,FLUX,8.452178764052819e-06,8.206730039237845e-06,,,,AT2020yue.json,547,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,60277.798749415,FLUX,-7.984130828103435e-06,8.698612486858483e-06,,,,AT2020yue.json,548,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,W1,60435.98879698,FLUX,6.1961479579361985e-06,8.27318136319294e-06,,,,AT2020yue.json,549,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
