event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020yue,g,58472.522962999996,FLUX,-5.028389378026819e-07,2.200914014222077e-06,,,,AT2020yue.json,0,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58482.50486110011,FLUX,4.185320499289321e-06,2.960545751382468e-06,,,,AT2020yue.json,6,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58486.54199070018,FLUX,-9.409309400689814e-07,2.8175302239041545e-06,,,,AT2020yue.json,8,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58491.4765625,FLUX,4.092364818944389e-07,3.1808622343440533e-06,,,,AT2020yue.json,9,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58493.55314810015,FLUX,2.5436572625112234e-06,1.92134671626972e-06,,,,AT2020yue.json,12,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58494.481377299875,FLUX,2.8196543487133304e-06,1.7337175324954212e-06,,,,AT2020yue.json,13,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58505.45840279991,FLUX,-2.982807840756598e-07,1.0288672158420315e-05,,,,AT2020yue.json,15,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58508.54017359996,FLUX,1.0445752482537509e-06,7.246526899435476e-06,,,,AT2020yue.json,17,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58511.421747699846,FLUX,5.620304634507874e-06,2.754858749058103e-06,,,,AT2020yue.json,18,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58511.46534720017,FLUX,8.581831976348915e-07,2.9297747127947393e-06,,,,AT2020yue.json,19,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58522.43873840012,FLUX,4.221754311163103e-06,3.7222942360557125e-06,,,,AT2020yue.json,21,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58546.27344910009,FLUX,-5.12622864011126e-06,2.4429106820421877e-06,,,,AT2020yue.json,22,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,g,58559.33306710003,FLUX,-2.090156849772205e-06,5.145484537836372e-06,,,,AT2020yue.json,24,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
