event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020yue,r,58472.54479169985,FLUX,-7.79555212489734e-07,2.8836088811933418e-06,,,,AT2020yue.json,1,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58476.4469444002,FLUX,3.400595887114865e-06,6.026516889727195e-06,,,,AT2020yue.json,2,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58476.50318290014,FLUX,6.451103711797136e-06,5.005808151458093e-06,,,,AT2020yue.json,3,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58481.47254629992,FLUX,-8.069485081683348e-06,5.455573880901146e-06,,,,AT2020yue.json,4,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58481.502152800094,FLUX,9.29568952951582e-06,4.009175638566269e-06,,,,AT2020yue.json,5,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58486.48170140013,FLUX,0,2.7253921662439793e-06,,,,AT2020yue.json,7,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58491.527905100025,FLUX,-6.111159519408159e-06,4.5549355668573725e-06,,,,AT2020yue.json,10,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58493.44238429982,FLUX,-6.392870593877308e-06,2.525785587346321e-06,,,,AT2020yue.json,11,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58502.51996529987,FLUX,2.50651789839336e-06,5.741262580052317e-06,,,,AT2020yue.json,14,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58505.505092599895,FLUX,-1.7714518116987377e-05,1.5705029077188532e-05,,,,AT2020yue.json,16,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58513.42343749991,FLUX,4.9588609381399527e-08,2.170355674250495e-06,,,,AT2020yue.json,20,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58559.25325229997,FLUX,4.838876281150765e-06,5.669354695477818e-06,,,,AT2020yue.json,23,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58567.23381939996,FLUX,2.0038081270222216e-06,2.3643961865923434e-06,,,,AT2020yue.json,25,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58580.22829859983,FLUX,1.659894923529875e-06,2.9313822314323176e-06,,,,AT2020yue.json,28,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58583.259166699834,FLUX,3.3295661889351693e-06,3.6590480082755666e-06,,,,AT2020yue.json,30,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58586.213935200125,FLUX,-7.830639755708288e-06,4.105785764585685e-06,,,,AT2020yue.json,32,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58594.157349499874,FLUX,9.993861180987219e-07,3.372111673986073e-06,,,,AT2020yue.json,34,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58597.329490699805,FLUX,-4.977782909762864e-07,4.395197166171774e-06,,,,AT2020yue.json,36,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020yue,r,58601.25664350018,FLUX,6.889400926203455e-07,2.633256199262358e-06,,,,AT2020yue.json,38,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
