event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020zso,B,59173.046423,FLUX,0.00010933,4.424e-05,,,,AT2020zso.json,728,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59173.174476,FLUX,0.00016745,5.3686e-05,,,,AT2020zso.json,729,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59178.391527,FLUX,0.00015867,3.6062e-05,,,,AT2020zso.json,730,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59180.423151,FLUX,0.00014741,4.8784e-05,,,,AT2020zso.json,731,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59182.481793,FLUX,0.00014386,3.6886e-05,,,,AT2020zso.json,732,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59184.270007,FLUX,0.00016713,3.7004e-05,,,,AT2020zso.json,733,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59191.367207,FLUX,0.00015946,5.9227e-05,,,,AT2020zso.json,734,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59195.752614,FLUX,0.00021817,5.3903e-05,,,,AT2020zso.json,735,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59199.201517,FLUX,0.00020344,5.7204e-05,,,,AT2020zso.json,736,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59204.718329,FLUX,6.5471e-05,5.1065e-05,,,,AT2020zso.json,737,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59207.176348,FLUX,0.00017868,6.2265e-05,,,,AT2020zso.json,738,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59211.491906,FLUX,2.8287e-05,5.4872e-05,,,,AT2020zso.json,739,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59215.540486,FLUX,0.00010229,6.052e-05,,,,AT2020zso.json,740,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59321.217669,FLUX,-0.00012337,5.5738e-05,,,,AT2020zso.json,741,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59328.349878,FLUX,-6.8792e-05,3.5702e-05,,,,AT2020zso.json,742,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59341.692684,FLUX,5.9637e-05,5.2624e-05,,,,AT2020zso.json,743,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,59355.864978,FLUX,-5.7388e-05,4.0517e-05,,,,AT2020zso.json,744,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,B,60411.74556,FLUX,-3.7618e-05,3.4375e-05,,,,AT2020zso.json,745,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
