event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020zso,UVM2,59173.053128,FLUX,0.00016003,1.3143e-05,,,,AT2020zso.json,675,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59173.181538,FLUX,0.00017072,1.254e-05,,,,AT2020zso.json,676,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59178.399488,FLUX,0.00017871,8.7905e-06,,,,AT2020zso.json,677,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59180.427107,FLUX,0.00019376,1.1475e-05,,,,AT2020zso.json,678,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59182.490275,FLUX,0.00021465,1.0384e-05,,,,AT2020zso.json,679,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59184.278785,FLUX,0.00024104,1.1201e-05,,,,AT2020zso.json,680,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59191.374911,FLUX,0.00023308,1.286e-05,,,,AT2020zso.json,681,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59195.760921,FLUX,0.0001774,1.0728e-05,,,,AT2020zso.json,682,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59199.210013,FLUX,0.00015199,9.6672e-06,,,,AT2020zso.json,683,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59204.727264,FLUX,8.0812e-05,6.9777e-06,,,,AT2020zso.json,684,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59207.182989,FLUX,7.6112e-05,7.7399e-06,,,,AT2020zso.json,685,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59215.54896,FLUX,5.8831e-05,6.3583e-06,,,,AT2020zso.json,686,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59321.22429,FLUX,2.0478e-05,6.8919e-06,,,,AT2020zso.json,687,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59328.356761,FLUX,1.5099e-05,4.7579e-06,,,,AT2020zso.json,688,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59341.696309,FLUX,7.5279e-06,4.7569e-06,,,,AT2020zso.json,689,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,59355.874285,FLUX,1.4701e-05,4.0847e-06,,,,AT2020zso.json,690,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVM2,60411.751853,FLUX,6.4952e-06,4.1175e-06,,,,AT2020zso.json,691,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
