event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020zso,UVW2,59173.048803,FLUX,0.00021261,1.1802e-05,,,,AT2020zso.json,657,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59173.176852,FLUX,0.00021384,1.1953e-05,,,,AT2020zso.json,658,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59178.393617,FLUX,0.00020987,9.4573e-06,,,,AT2020zso.json,659,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59180.424317,FLUX,0.00025129,1.3143e-05,,,,AT2020zso.json,660,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59182.48457,FLUX,0.00024738,1.0978e-05,,,,AT2020zso.json,661,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59184.272864,FLUX,0.00026833,1.1569e-05,,,,AT2020zso.json,662,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59191.369426,FLUX,0.0002469,1.3178e-05,,,,AT2020zso.json,663,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59195.75506,FLUX,0.00018369,1.0662e-05,,,,AT2020zso.json,664,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59199.203953,FLUX,0.00014498,9.4362e-06,,,,AT2020zso.json,665,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59204.720913,FLUX,7.8224e-05,6.9581e-06,,,,AT2020zso.json,666,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59207.178275,FLUX,7.6022e-05,7.8566e-06,,,,AT2020zso.json,667,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59211.494492,FLUX,5.9198e-05,6.5245e-06,,,,AT2020zso.json,668,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59215.542937,FLUX,4.8447e-05,6.4161e-06,,,,AT2020zso.json,669,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59321.220023,FLUX,1.0928e-05,5.3665e-06,,,,AT2020zso.json,670,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59328.352476,FLUX,1.3668e-05,3.6967e-06,,,,AT2020zso.json,671,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59341.69392,FLUX,1.2476e-05,5.2823e-06,,,,AT2020zso.json,672,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,59355.867634,FLUX,1.4042e-05,4.2904e-06,,,,AT2020zso.json,673,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,UVW2,60411.747556,FLUX,3.9133e-06,3.073e-06,,,,AT2020zso.json,674,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
