event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020zso,U,59173.045444,FLUX,0.00020122,2.4764e-05,,,,AT2020zso.json,710,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59173.207077,FLUX,0.00012723,1.8721e-05,,,,AT2020zso.json,711,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59178.390667,FLUX,0.00017682,1.9179e-05,,,,AT2020zso.json,712,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59180.422737,FLUX,0.00021721,2.647e-05,,,,AT2020zso.json,713,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59182.481054,FLUX,0.00018772,1.959e-05,,,,AT2020zso.json,714,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59184.269258,FLUX,0.00023015,2.0685e-05,,,,AT2020zso.json,715,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59191.366438,FLUX,0.00036396,3.5309e-05,,,,AT2020zso.json,716,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59195.751765,FLUX,0.00023676,2.8673e-05,,,,AT2020zso.json,717,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59199.200679,FLUX,0.00023533,3.1256e-05,,,,AT2020zso.json,718,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59204.717421,FLUX,9.7598e-05,2.4867e-05,,,,AT2020zso.json,719,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59207.175675,FLUX,0.00011139,2.9412e-05,,,,AT2020zso.json,720,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59211.491012,FLUX,6.4672e-05,2.5562e-05,,,,AT2020zso.json,721,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59215.539637,FLUX,6.8096e-07,2.6606e-05,,,,AT2020zso.json,722,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59321.216703,FLUX,4.7637e-05,2.5628e-05,,,,AT2020zso.json,723,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59328.348896,FLUX,-1.103e-05,1.5604e-05,,,,AT2020zso.json,724,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59341.692298,FLUX,9.7867e-06,2.3118e-05,,,,AT2020zso.json,725,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,59355.864061,FLUX,-1.1385e-05,1.7213e-05,,,,AT2020zso.json,726,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,U,60411.744572,FLUX,-3.5101e-05,1.4261e-05,,,,AT2020zso.json,727,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
