event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020zso,W1,56806.59137009,FLUX,-8.305559860115002e-06,1.2005470842252666e-05,,,,AT2020zso.json,746,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,56985.00447313,FLUX,9.459591094916415e-06,1.3645842783225317e-05,,,,AT2020zso.json,747,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,57168.507298690005,FLUX,2.1704511656125126e-05,1.2373070999075571e-05,,,,AT2020zso.json,748,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,57344.37892008,FLUX,-4.784653485275472e-06,1.0853202488948583e-05,,,,AT2020zso.json,749,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,57532.76470953,FLUX,-1.9848457839715673e-06,1.1984914042243552e-05,,,,AT2020zso.json,750,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,57706.04324675,FLUX,-1.568639829921912e-05,1.1014589705937947e-05,,,,AT2020zso.json,751,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,57899.790070614996,FLUX,4.0296375641543885e-06,1.4360522408464465e-05,,,,AT2020zso.json,752,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,58066.472856695,FLUX,-9.21757356809556e-06,1.0823661451610083e-05,,,,AT2020zso.json,753,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,58263.839385025,FLUX,-1.822751928861474e-05,1.1148778671411605e-05,,,,AT2020zso.json,754,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,58427.269344375,FLUX,3.381511793415042e-05,1.105540691672803e-05,,,,AT2020zso.json,755,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,58628.45391516,FLUX,7.01938536005508e-06,7.844031750182713e-06,,,,AT2020zso.json,756,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,58792.90749865,FLUX,-1.3874383360967062e-05,1.0087179577778166e-05,,,,AT2020zso.json,757,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,58995.20324067,FLUX,-2.0141509355602532e-05,1.1266537688934794e-05,,,,AT2020zso.json,758,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,59158.45764373,FLUX,-2.4008368869409567e-05,1.1480472865824414e-05,,,,AT2020zso.json,759,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,59359.3580796,FLUX,2.5068890880943636e-06,1.1139301258429648e-05,,,,AT2020zso.json,760,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,59522.68014508,FLUX,2.104761244773209e-05,1.1893433576178398e-05,,,,AT2020zso.json,761,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,59726.44780367,FLUX,8.952161578699088e-07,1.0683540257538941e-05,,,,AT2020zso.json,762,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,59889.65510792,FLUX,-6.01284371700371e-07,1.265432700257271e-05,,,,AT2020zso.json,763,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,60090.55680993,FLUX,1.5508361353672826e-05,1.2267841430910523e-05,,,,AT2020zso.json,764,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,60253.791201675,FLUX,-6.625203092866306e-06,1.212522990632263e-05,,,,AT2020zso.json,765,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,W1,60454.79827351,FLUX,2.4389724036606703e-06,1.3494314515529751e-05,,,,AT2020zso.json,766,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
