event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020zso,g,58469.10606480017,FLUX,-1.0544704081132653e-05,7.335600661591148e-06,,,,AT2020zso.json,1,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58472.127419000026,FLUX,1.3159318824549471e-05,1.1044817022448602e-05,,,,AT2020zso.json,2,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58641.4406365999,FLUX,5.598321746282904e-06,3.429484499154854e-06,,,,AT2020zso.json,10,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58644.44158559991,FLUX,-3.284489004940377e-06,4.160423490241371e-06,,,,AT2020zso.json,11,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58647.46606480004,FLUX,-4.7065411869479826e-07,3.908052375518207e-06,,,,AT2020zso.json,12,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58652.48142360011,FLUX,-9.131272530620682e-08,1.4946881564871662e-05,,,,AT2020zso.json,13,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58672.42217590008,FLUX,-3.443503715339342e-06,2.856012960066313e-06,,,,AT2020zso.json,16,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58675.44409719994,FLUX,5.790464145271024e-07,2.9484855636579524e-06,,,,AT2020zso.json,18,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58690.44015049981,FLUX,-1.1733774872353964e-06,3.927581063748766e-06,,,,AT2020zso.json,24,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58690.45750000002,FLUX,4.36363712405747e-07,4.4046968936696854e-06,,,,AT2020zso.json,25,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58693.39958330011,FLUX,-4.982604832896786e-06,3.213407656969421e-06,,,,AT2020zso.json,29,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58694.43054400012,FLUX,5.494109479403596e-06,2.427251360381554e-06,,,,AT2020zso.json,32,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58694.43144680001,FLUX,3.7623261060621574e-06,2.628794895222523e-06,,,,AT2020zso.json,33,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58695.378287000116,FLUX,2.95357464468555e-06,3.4887544031372187e-06,,,,AT2020zso.json,34,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58696.399120400194,FLUX,5.932822703401646e-07,3.0215554960035964e-06,,,,AT2020zso.json,36,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58697.3739467999,FLUX,-4.827319148854066e-06,2.8308817419472713e-06,,,,AT2020zso.json,37,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58697.374849500135,FLUX,-3.4953105264104303e-06,3.1596886001995107e-06,,,,AT2020zso.json,38,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58699.42456019996,FLUX,3.932512109910637e-06,3.0808352910084877e-06,,,,AT2020zso.json,42,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58700.37159720017,FLUX,7.617054545803503e-07,2.7009542114887245e-06,,,,AT2020zso.json,43,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58700.372500000056,FLUX,-4.0596612043625313e-07,2.7417907290644472e-06,,,,AT2020zso.json,44,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58701.371111100074,FLUX,-4.398270617977929e-06,2.8436385128973913e-06,,,,AT2020zso.json,45,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58704.37662040023,FLUX,4.8741752153922206e-06,4.251474228729175e-06,,,,AT2020zso.json,48,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58706.435347199906,FLUX,9.131272530620682e-08,3.426599248462899e-06,,,,AT2020zso.json,49,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58707.39809030015,FLUX,-2.380779370690284e-06,7.855533836981878e-06,,,,AT2020zso.json,50,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58717.39859949984,FLUX,2.1273747793146747e-06,6.212455970112719e-06,,,,AT2020zso.json,56,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58720.39842589991,FLUX,-5.223466020756316e-06,5.268948539819317e-06,,,,AT2020zso.json,57,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58723.41606480023,FLUX,3.6604193787731767e-06,3.5088468286382933e-06,,,,AT2020zso.json,58,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58733.31424769992,FLUX,-3.822943385080307e-06,4.387403201048181e-06,,,,AT2020zso.json,60,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58736.305786999874,FLUX,2.729653071171852e-06,1.0469464988053538e-05,,,,AT2020zso.json,62,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58747.27265049983,FLUX,-3.0580129023842597e-06,4.607424829225245e-06,,,,AT2020zso.json,66,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58754.25087960018,FLUX,-1.0508448841562983e-06,3.4723684167017814e-06,,,,AT2020zso.json,69,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58761.25196760008,FLUX,-1.8400373775027034e-06,4.547210597262461e-06,,,,AT2020zso.json,73,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58764.272465299815,FLUX,1.724249472836962e-05,9.892750948877432e-06,,,,AT2020zso.json,75,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58777.18386569992,FLUX,1.7825482930044226e-06,5.585583304860358e-06,,,,AT2020zso.json,79,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58785.22883100016,FLUX,5.902101718862377e-06,4.628513332308246e-06,,,,AT2020zso.json,82,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58795.12641200004,FLUX,-1.2070425665010257e-05,1.1787082717717164e-05,,,,AT2020zso.json,85,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58814.09064809978,FLUX,-9.900395243165515e-07,7.18970940214412e-06,,,,AT2020zso.json,86,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,58829.085486100055,FLUX,4.277252801953231e-06,1.4884776343227699e-05,,,,AT2020zso.json,87,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,59027.373472199775,FLUX,1.0495325862615348e-05,7.108527426821673e-06,,,,AT2020zso.json,98,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,59030.356354199816,FLUX,2.1734081707802944e-06,9.908637631156495e-06,,,,AT2020zso.json,99,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,59033.44387729978,FLUX,5.4619263628850426e-06,7.4497945227002324e-06,,,,AT2020zso.json,102,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,g,59042.357789400034,FLUX,4.515192561983649e-06,6.756838778842587e-06,,,,AT2020zso.json,103,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
