event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020zso,i,58716.328645799775,FLUX,-4.007100849611205e-06,4.666857821859061e-06,,,,AT2020zso.json,54,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,58725.30575230019,FLUX,0,3.5337628629196056e-06,,,,AT2020zso.json,59,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,58733.42484949995,FLUX,4.42010631564602e-06,4.28668751962167e-06,,,,AT2020zso.json,61,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,58744.33687500004,FLUX,-5.479871309878783e-06,5.362416192587609e-06,,,,AT2020zso.json,64,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,58748.27424769988,FLUX,2.275464418177231e-06,3.6374876536688294e-06,,,,AT2020zso.json,67,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,58754.29504630016,FLUX,-4.763294106953716e-06,7.118423042719852e-06,,,,AT2020zso.json,70,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,58758.25907409983,FLUX,-1.0383811178851275e-05,5.166425831677709e-06,,,,AT2020zso.json,72,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,58762.20457179984,FLUX,3.5090618556857268e-06,5.8679490750379196e-06,,,,AT2020zso.json,74,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,58769.30137730017,FLUX,1.1088763162024714e-05,1.1567093946846504e-05,,,,AT2020zso.json,76,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,59399.43984950008,FLUX,8.225854656127367e-06,4.766211694819142e-06,,,,AT2020zso.json,265,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,59411.420624999795,FLUX,-6.53721836075041e-07,4.1977608639473994e-06,,,,AT2020zso.json,267,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,i,59427.38104170002,FLUX,2.5511345540180293e-06,3.4852176825331163e-06,,,,AT2020zso.json,277,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
