event,band,mjd,measurement_mode,flux,flux_err,magnitude,magnitude_error,upper_limit,source_raw_file,source_row_index,eligibility_rule,eligible,notes
AT2020zso,r,58469.06981479982,FLUX,2.453395029216262e-06,6.447390121090418e-06,,,,AT2020zso.json,0,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58474.14603010006,FLUX,-4.926250512523654e-06,1.133577574353915e-05,,,,AT2020zso.json,3,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58490.09135420015,FLUX,9.131854227405164e-06,1.216126465261057e-05,,,,AT2020zso.json,4,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58491.08829860017,FLUX,1.853199750266142e-05,1.0002397843115406e-05,,,,AT2020zso.json,5,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58491.0931712999,FLUX,6.293785703597469e-06,7.977393911492366e-06,,,,AT2020zso.json,6,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58491.0980440001,FLUX,9.151755961510994e-07,9.417257673568009e-06,,,,AT2020zso.json,7,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58493.08912040014,FLUX,2.3601004681957916e-05,1.2140692754876217e-05,,,,AT2020zso.json,8,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58493.09391199984,FLUX,-1.636675344539178e-05,1.3264019248720841e-05,,,,AT2020zso.json,9,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58666.420231500175,FLUX,2.0928061684851564e-06,3.434361763474238e-06,,,,AT2020zso.json,14,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58669.41769680008,FLUX,6.747596194486686e-07,3.1909871307530844e-06,,,,AT2020zso.json,15,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58672.46069440013,FLUX,-9.369485803228583e-07,3.252082893527243e-06,,,,AT2020zso.json,17,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58675.485752299894,FLUX,-7.2061098366803886e-06,5.416572247649852e-06,,,,AT2020zso.json,19,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58678.48093750002,FLUX,-8.435749310515782e-07,3.481534489203081e-06,,,,AT2020zso.json,20,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58681.41914349981,FLUX,8.939788614889068e-06,1.045642272863033e-05,,,,AT2020zso.json,21,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58690.39909720002,FLUX,2.7664514317946044e-06,3.2518569367026572e-06,,,,AT2020zso.json,22,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58690.39999999991,FLUX,-3.194296176050038e-06,3.6466081017101334e-06,,,,AT2020zso.json,23,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58691.39061339991,FLUX,5.840960435415202e-06,3.4266575180774277e-06,,,,AT2020zso.json,26,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58692.33501160005,FLUX,-1.4000060175368002e-06,4.244491718005547e-06,,,,AT2020zso.json,27,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58693.39583329996,FLUX,1.6256462901449485e-06,3.180594986410598e-06,,,,AT2020zso.json,28,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58694.38709490001,FLUX,8.595575656681678e-07,3.1853240462706414e-06,,,,AT2020zso.json,30,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58694.3879976999,FLUX,-1.0530046921801696e-06,3.3010368257663004e-06,,,,AT2020zso.json,31,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58696.39327549981,FLUX,-4.1826128459704705e-06,2.862535890827089e-06,,,,AT2020zso.json,35,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58697.39670140017,FLUX,-2.0950278501250092e-06,3.171822690860664e-06,,,,AT2020zso.json,39,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58697.39761570003,FLUX,2.5806715552612063e-06,3.547334890552427e-06,,,,AT2020zso.json,40,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58698.41442129994,FLUX,1.1810001228908113e-05,3.7765971718206457e-06,,,,AT2020zso.json,41,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58701.380381899886,FLUX,-8.883079156394591e-07,3.021660365654469e-06,,,,AT2020zso.json,46,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58703.39964119997,FLUX,-5.247360199895714e-06,3.5893455901700635e-06,,,,AT2020zso.json,47,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58707.503287000116,FLUX,-4.078166843005504e-06,5.945138148969712e-06,,,,AT2020zso.json,51,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58714.37472219998,FLUX,4.860503671610736e-06,7.144949531338767e-06,,,,AT2020zso.json,52,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58715.36482639983,FLUX,7.4059537992069095e-06,5.656922910916406e-06,,,,AT2020zso.json,53,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58717.332013899926,FLUX,6.628830824559817e-07,4.892303943193248e-06,,,,AT2020zso.json,55,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58736.37096060021,FLUX,1.5562174822231454e-05,1.0822540059054417e-05,,,,AT2020zso.json,63,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58744.36002309993,FLUX,6.277788998929875e-06,6.507738308996862e-06,,,,AT2020zso.json,65,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58750.27702549985,FLUX,1.126358987171553e-06,5.8259071831412e-06,,,,AT2020zso.json,68,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58757.296180599835,FLUX,-2.9393187987241845e-06,4.7365911795272365e-06,,,,AT2020zso.json,71,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
AT2020zso,r,58771.26736109983,FLUX,-4.215005387101928e-06,1.1283121399889456e-05,,,,AT2020zso.json,77,finite(flux) AND finite(flux_err) AND flux_err > 0,True,Measurement-level observation eligible under DEC-006; no temporal fitting window applied.
