event,band,raw_band,data_mode,historical_N,processed_N,raw_candidate_N,finite_flux_error_N,positive_flux_positive_error_N,processed_rule_match,processed_rows_exactly_matched,raw_nonpositive_flux_N,raw_nonpositive_error_N,fraction_retained,finite_magnitude_N,upper_limit_N,non_upperlimit_finite_magnitude_N,finite_positive_magnitude_error_N,processed_unmatched_N,selected_raw_unmatched_N,excluded_source_rows_N,raw_positive_flux_N,raw_zero_flux_N,raw_negative_flux_N,raw_flux_median,positive_only_flux_median,raw_flux_mean,positive_only_flux_mean,pre_reference_N,pre_reference_positive_N,pre_reference_zero_N,pre_reference_negative_N,pre_reference_raw_flux_median,pre_reference_positive_only_flux_median,pre_reference_raw_flux_mean,pre_reference_positive_only_flux_mean,publication_reference_mjd,preprocessing_class,notes
AT2018hyz,g,g,magnitude,79,79,81,,,True,True,,,0.9753086419753086,81,0,81,79,0,0,2,,,,,,,,,,,,,,,,58429.0,MAGNITUDE_SELECTION_VERIFIED,"Magnitude-derived historical band verified by finite magnitude, non-upper-limit selection with finite positive magnitude errors."
AT2019qiz,g,g,magnitude,55,55,57,,,True,True,,,0.9649122807017544,57,2,55,55,0,0,2,,,,,,,,,,,,,,,,58764.0,MAGNITUDE_SELECTION_VERIFIED,"Magnitude-derived historical band verified by finite magnitude, non-upper-limit selection with finite positive magnitude errors. Optical g is audited separately from Gaia G."
AT2019qiz,i,i,magnitude,29,29,29,,,True,True,,,1.0,29,0,29,29,0,0,0,,,,,,,,,,,,,,,,58764.0,MAGNITUDE_SELECTION_VERIFIED,"Magnitude-derived historical band verified by finite magnitude, non-upper-limit selection with finite positive magnitude errors."
AT2019qiz,r,r,magnitude,61,61,61,,,True,True,,,1.0,61,0,61,61,0,0,0,,,,,,,,,,,,,,,,58764.0,MAGNITUDE_SELECTION_VERIFIED,"Magnitude-derived historical band verified by finite magnitude, non-upper-limit selection with finite positive magnitude errors."
AT2020wey,W1,W1.wise,flux,8,8,20,20,8,True,True,12,0,0.4,,,,,0,0,12,8,0,12,-2.463029546203372e-06,1.2530578955889529e-05,-1.67240746561164e-06,1.2603790284491667e-05,13,6,0,7,-1.959991335326057e-06,1.5926439552688555e-05,9.694170935442263e-07,1.4142192160029094e-05,59152.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020wey,W2,W2.wise,flux,10,10,20,20,10,True,True,10,0,0.5,,,,,0,0,10,10,0,10,-2.661997163132423e-06,4.981598105907854e-06,-2.418221346595694e-06,1.1146815583093995e-05,13,7,0,6,1.9036841604746368e-07,4.553088747774015e-06,-1.2259016785990189e-06,1.0336277543327277e-05,59152.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020wey,g,g.ztf,flux,428,428,683,683,428,True,True,255,0,0.6266471449487555,,,,,0,0,255,428,2,253,2.3163860894062258e-06,5.709540444554859e-06,8.612414400543743e-06,1.615644020805849e-05,255,139,2,114,6.193322451740955e-07,3.6521008862082284e-06,7.4985641355814175e-06,1.707830668038564e-05,59152.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020wey,r,r.ztf,flux,433,433,801,801,433,True,True,368,0,0.5405742821473158,,,,,0,0,368,433,0,368,7.396949695642526e-07,5.0395580201526825e-06,4.717559024981894e-06,1.3495100504148442e-05,327,167,0,160,8.667713540736521e-08,4.771337866482451e-06,3.7737459659359504e-06,1.274366213954898e-05,59152.0,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020ysg,W1,W1.wise,flux,16,16,21,21,16,True,True,5,0,0.7619047619047619,,,,,0,0,5,16,0,5,2.858996786266376e-06,1.440750112668424e-05,1.3885008138291073e-05,2.0519187688754537e-05,13,8,0,5,3.8426991166152853e-07,2.5683703558011754e-06,6.542314595764746e-07,5.653355136306781e-06,59122.64,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020ysg,W2,W2.wise,flux,14,14,21,21,14,True,True,7,0,0.6666666666666666,,,,,0,0,7,14,0,7,1.3926221165929441e-05,4.082486936269645e-05,2.8547201065386427e-05,4.881136661347951e-05,13,6,0,7,-2.7924438296253354e-06,1.2313950445132782e-05,2.0052313207311775e-06,1.832265289751725e-05,59122.64,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020ysg,g,g.ztf,flux,327,327,421,421,327,True,True,94,0,0.7767220902612827,,,,,0,0,94,327,0,94,5.355784725215096e-06,8.915392469813235e-06,1.5230233799594144e-05,2.0392136879386708e-05,171,90,0,81,1.1282155011595104e-07,1.842943323379493e-06,3.124225624576522e-07,2.9658012200057563e-06,59122.64,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020ysg,i,i.ztf,flux,67,67,79,79,67,True,True,12,0,0.8481012658227848,,,,,0,0,12,67,0,12,1.4876525460194066e-05,1.6270408610659724e-05,1.6724552844690628e-05,2.0186712386457705e-05,16,7,0,9,-9.922981574315881e-08,2.991926345538977e-06,3.798209647477963e-07,4.318294615529729e-06,59122.64,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020ysg,r,r.ztf,flux,421,421,531,531,421,True,True,110,0,0.7928436911487758,,,,,0,0,110,421,1,109,7.33553256432212e-06,1.1309463600705557e-05,1.5974182530000615e-05,2.0942183458754458e-05,210,116,1,93,4.393798605720697e-07,3.0910935932353277e-06,2.969215869408466e-06,7.785270154593126e-06,59122.64,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
AT2020yue,W1,W1.wise,flux,10,10,21,21,10,True,True,11,0,0.47619047619047616,,,,,0,0,11,10,0,11,-7.984130828103435e-06,1.7990509211206674e-05,-3.504855634677246e-06,1.7291479851972164e-05,13,6,0,7,-9.404231548430466e-06,2.357857965083812e-05,-2.4631214549263172e-06,2.1932370935765037e-05,59179.44,POSITIVE_FLUX_TRUNCATION_VERIFIED,The historical preprocessing can be reproduced as a positive-flux selection for the affected 2020 flux-based datasets. Positive-only truncation can shift the retained flux distribution upward relative to the underlying raw measurements.
