scenario_id,scenario_type,lower_rest_days,upper_rest_days,event,band,measurement_mode,redshift_adopted,publication_reference_mjd,reference_epoch_type,eligible_N,retained_N,excluded_N,retained_fraction,retained_pre_reference_N,retained_at_reference_N,retained_post_reference_N,retained_mjd_min,retained_mjd_max,retained_first_minus_reference_rest_days,retained_last_minus_reference_rest_days,retained_span_rest_days,retained_median_positive_cadence_rest_days,retained_p90_positive_cadence_rest_days,retained_max_gap_rest_days,temporal_window_scenario_applied,final_fitting_window_selected,model_time_defined,reference_epoch_limitation
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2018hyz,g,MAGNITUDE,0.04573,58429.0,bolometric_peak,79,79,0,1.0,2,0,77,58405.480409999844,58652.978515625,-22.491073221726747,214.1838864955581,236.67495971728488,1.994719000124315,6.087068064892466,14.349851300163051,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2019qiz,g,MAGNITUDE,0.01513,58764.0,bolometric_peak,55,55,0,1.0,11,0,44,58746.5,58907.47,-17.239171337661183,141.33165210367258,158.57082344133377,2.8025967117523507,6.126308945653228,8.274802242078803,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2019qiz,i,MAGNITUDE,0.01513,58764.0,bolometric_peak,29,29,0,1.0,3,0,26,58752.27,58903.11,-11.555170273761194,137.03663570183184,148.59180597559305,4.04381704806238,8.552599174489938,15.150768867039078,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2019qiz,r,MAGNITUDE,0.01513,58764.0,bolometric_peak,61,61,0,1.0,9,0,52,58745.49,58907.48,-18.234117797722494,141.3415030587247,159.5756208564472,2.699161683726814,5.1816023563511715,9.870656960189136,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2020wey,W1,FLUX,0.02738,59152.0,r_band_peak,20,20,0,1.0,13,0,7,56954.72054806,60396.10768027,-2138.721263738829,1210.9518194533641,3349.6730831921927,162.96257938153008,204.08580757850655,204.16865910860992,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2020wey,W2,FLUX,0.02738,59152.0,r_band_peak,20,20,0,1.0,13,0,7,56954.72054806,60396.10768027,-2138.721263738829,1210.9518194533641,3349.6730831921927,162.96257938153008,204.08580757850655,204.16865910860992,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2020wey,g,FLUX,0.02738,59152.0,r_band_peak,683,683,0,1.0,255,0,428,58422.47346059978,60706.41350689996,-710.0844277679339,1512.9878982459854,2223.0723260139193,0.9723076174317156,5.7717552512823795,153.05705250238378,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2020wey,r,FLUX,0.02738,59152.0,r_band_peak,801,801,0,1.0,327,0,474,58422.52891199989,60706.277326399926,-710.030454165068,1512.8553469990911,2222.885801164159,0.9545868131894657,4.894599330306996,153.09510784730483,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2020ysg,W1,FLUX,0.277,59122.64,fitted_lightcurve_peak,21,21,0,1.0,13,0,8,56806.16809949,60438.61998174,-1813.9952235786982,1030.5246528895834,2844.5198764682814,140.48557660140955,163.33082226546628,163.47969166013786,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,full_available_eligible_layer,,,AT2020ysg,W2,FLUX,0.277,59122.64,fitted_lightcurve_peak,21,21,0,1.0,13,0,8,56806.16809949,60438.61998174,-1813.9952235786982,1030.5246528895834,2844.5198764682814,140.48557660140955,163.33082226546628,163.47969166013786,False,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
