scenario_id,event,redshift_adopted,bands_N,eligible_N,retained_N,retained_fraction,pre_reference_retained_N,at_reference_retained_N,post_reference_retained_N,bands_nonempty_N,bands_zero_N,earliest_retained_minus_reference_rest_days,latest_retained_minus_reference_rest_days,retained_event_span_rest_days,final_fitting_window_selected,model_time_defined,reference_epoch_limitation
ALL_ELIGIBLE,AT2018hyz,0.04573,1,79,79,1.0,2,0,77,1,0,-22.491073221726747,214.1838864955581,236.67495971728485,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,AT2019qiz,0.01513,3,145,145,1.0,23,0,122,3,0,-18.234117797722494,141.3415030587247,159.5756208564472,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,AT2020wey,0.02738,4,1524,1524,1.0,608,0,916,4,0,-2138.721263738829,1512.9878982459854,3651.7091619848143,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,AT2020ysg,0.277,5,1073,1073,1.0,423,0,650,5,0,-1813.9952235786982,1223.0269693031753,3037.0221928818737,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,AT2020yue,0.204,4,542,542,1.0,223,0,319,4,0,-1973.4526898006648,1262.406532641025,3235.85922244169,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
ALL_ELIGIBLE,AT2020zso,0.0563,10,788,788,1.0,258,0,530,10,0,-2250.694527984476,1403.1387731703767,3653.8333011548525,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
POST_REFERENCE_ALL,AT2018hyz,0.04573,1,79,77,0.9746835443037974,0,0,77,1,0,3.2061207641033502,214.1838864955581,210.97776573145475,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
POST_REFERENCE_ALL,AT2019qiz,0.01513,3,145,122,0.8413793103448276,0,0,122,3,0,2.2755706165689826,141.3415030587247,139.0659324421557,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
POST_REFERENCE_ALL,AT2020wey,0.02738,4,1524,916,0.6010498687664042,0,0,916,4,0,1.4504937801305806,1512.9878982459854,1511.537404465855,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
POST_REFERENCE_ALL,AT2020ysg,0.277,5,1073,650,0.6057781919850885,0,0,650,5,0,11.660893187073157,1223.0269693031753,1211.3660761161022,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
POST_REFERENCE_ALL,AT2020yue,0.204,4,542,319,0.5885608856088561,0,0,319,4,0,2.44830144933124,1262.406532641025,1259.9582311916938,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
POST_REFERENCE_ALL,AT2020zso,0.0563,10,788,530,0.6725888324873096,0,0,530,10,0,0.14101893380164401,1403.1387731703767,1402.997754236575,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_180,AT2018hyz,0.04573,1,79,60,0.759493670886076,0,0,60,1,0,3.2061207641033502,169.5212315798533,166.31511081574993,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
