scenario_id,scenario_type,lower_rest_days,upper_rest_days,total_eligible_N,total_retained_N,total_excluded_N,retained_fraction,flux_retained_N,magnitude_retained_N,pre_reference_retained_N,at_reference_retained_N,post_reference_retained_N,event_band_rows_N,event_bands_nonempty_N,event_bands_zero_N,minimum_band_retained_N,median_band_retained_N,maximum_band_retained_N,bands_with_lt_5_measurements_N,bands_with_lt_10_measurements_N,bands_with_lt_20_measurements_N,W1_W2_retained_N,non_W1_W2_retained_N,final_fitting_window_selected,model_time_defined,reference_epoch_limitation
ALL_ELIGIBLE,full_available_eligible_layer,,,4151,4151,0,1.0,3927,224,1537,0,2614,27,27,0,17,29,801,0,0,5,166,3985,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
POST_REFERENCE_ALL,post_reference_unbounded,0,,4151,2614,1537,0.6297277764394121,2415,199,0,0,2614,27,27,0,7,26,474,0,8,13,60,2554,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_180,bounded_reference_anchored_sensitivity_grid,0,180.0,4151,997,3154,0.24018308841243075,815,182,0,0,997,27,26,1,0,12,161,9,10,15,12,985,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_365,bounded_reference_anchored_sensitivity_grid,0,365.0,4151,1348,2803,0.32474102625873286,1149,199,0,0,1348,27,27,0,2,19,224,8,8,14,20,1328,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_0_730,bounded_reference_anchored_sensitivity_grid,0,730.0,4151,2015,2136,0.4854251987472898,1816,199,0,0,2015,27,27,0,4,26,326,4,8,13,36,1979,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_180,bounded_reference_anchored_sensitivity_grid,-30.0,180.0,4151,1143,3008,0.27535533606359913,936,207,146,0,997,27,26,1,0,17,181,9,9,14,16,1127,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_365,bounded_reference_anchored_sensitivity_grid,-30.0,365.0,4151,1494,2657,0.35991327390990124,1270,224,146,0,1348,27,27,0,3,19,244,8,8,14,24,1470,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M30_730,bounded_reference_anchored_sensitivity_grid,-30.0,730.0,4151,2161,1990,0.5205974463984582,1937,224,146,0,2015,27,27,0,5,29,346,0,8,13,40,2121,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_180,bounded_reference_anchored_sensitivity_grid,-60.0,180.0,4151,1208,2943,0.29101421344254397,1001,207,211,0,997,27,26,1,0,17,181,9,9,14,16,1192,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_365,bounded_reference_anchored_sensitivity_grid,-60.0,365.0,4151,1559,2592,0.3755721512888461,1335,224,211,0,1348,27,27,0,3,19,244,8,8,14,24,1535,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M60_730,bounded_reference_anchored_sensitivity_grid,-60.0,730.0,4151,2226,1925,0.5362563237774031,2002,224,211,0,2015,27,27,0,5,29,346,0,8,13,40,2186,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_180,bounded_reference_anchored_sensitivity_grid,-120.0,180.0,4151,1271,2880,0.30619127920982897,1064,207,274,0,997,27,26,1,0,17,181,9,9,14,18,1253,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_365,bounded_reference_anchored_sensitivity_grid,-120.0,365.0,4151,1622,2529,0.390749217056131,1398,224,274,0,1348,27,27,0,3,19,244,8,8,14,26,1596,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
REF_M120_730,bounded_reference_anchored_sensitivity_grid,-120.0,730.0,4151,2289,1862,0.551433389544688,2065,224,274,0,2015,27,27,0,5,29,346,0,8,13,42,2247,False,False,The reference epochs used in this audit are heterogeneous literature-derived descriptive anchors. Equal numerical window bounds relative to these anchors do not imply that the anchors represent the same physical phase across events.
