anchor_source,anchor_id,event,anchor_mjd,anchor_definition,diagnostic_half_width_rest_days,sampling_subset,event_bands_total_N,bands_in_subset_N,bands_excluded_from_subset_N,included_bands,excluded_bands,total_local_measurements_in_subset,minimum_local_N_in_subset,median_local_N_in_subset,maximum_local_N_in_subset,bands_with_brightest_before_anchor_N,bands_with_brightest_at_anchor_N,bands_with_brightest_after_anchor_N,minimum_brightest_offset_rest_days,median_brightest_offset_rest_days,maximum_brightest_offset_rest_days,bands_with_pre_step_diagnostic_N,bands_with_post_step_diagnostic_N,median_pre_rising_step_fraction,median_post_declining_step_fraction,final_decline_anchor_selected,final_fitting_window_selected,model_time_defined,notes
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,120.0,LOCAL_DATA,1,1,0,g,,44,44,44,44,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.6585365853658537,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,120.0,BOTH_SIDES,1,1,0,g,,44,44,44,44,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.6585365853658537,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,120.0,BIDIRECTIONAL_STEPS,1,1,0,g,,44,44,44,44,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.6585365853658537,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,30.0,LOCAL_DATA,1,1,0,g,,19,19,19,19,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.5,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,30.0,BOTH_SIDES,1,1,0,g,,19,19,19,19,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.5,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,30.0,BIDIRECTIONAL_STEPS,1,1,0,g,,19,19,19,19,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.5,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,60.0,LOCAL_DATA,1,1,0,g,,30,30,30,30,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.5925925925925926,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,60.0,BOTH_SIDES,1,1,0,g,,30,30,30,30,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.5925925925925926,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,60.0,BIDIRECTIONAL_STEPS,1,1,0,g,,30,30,30,30,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.5925925925925926,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,120.0,LOCAL_DATA,3,3,0,g;i;r,,132,27,50,55,2,0,1,-0.5418025277579328,-0.5023987075567042,2.285421571621082,3,3,0.9,0.6888888888888889,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,120.0,BOTH_SIDES,3,3,0,g;i;r,,132,27,50,55,2,0,1,-0.5418025277579328,-0.5023987075567042,2.285421571621082,3,3,0.9,0.6888888888888889,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,120.0,BIDIRECTIONAL_STEPS,3,3,0,g;i;r,,132,27,50,55,2,0,1,-0.5418025277579328,-0.5023987075567042,2.285421571621082,3,3,0.9,0.6888888888888889,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,30.0,LOCAL_DATA,3,3,0,g;i;r,,52,8,21,23,2,0,1,-0.5418025277579328,-0.5023987075567042,2.285421571621082,3,3,0.9,0.75,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,30.0,BOTH_SIDES,3,3,0,g;i;r,,52,8,21,23,2,0,1,-0.5418025277579328,-0.5023987075567042,2.285421571621082,3,3,0.9,0.75,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,30.0,BIDIRECTIONAL_STEPS,3,3,0,g;i;r,,52,8,21,23,2,0,1,-0.5418025277579328,-0.5023987075567042,2.285421571621082,3,3,0.9,0.75,False,False,False,"Structural sensitivity subset: includes bands with positive-time adjacent-step diagnostics on both sides of the anchor. This is not a minimum-N, cadence, instrument, or model-quality rule and does not select an anchor."
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,60.0,LOCAL_DATA,3,3,0,g;i;r,,82,15,32,35,2,0,1,-0.5418025277579328,-0.5023987075567042,2.285421571621082,3,3,0.9,0.7272727272727273,False,False,False,Structural sensitivity subset: includes bands with at least one local measurement. This is not a quality threshold and does not select an anchor.
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,60.0,BOTH_SIDES,3,3,0,g;i;r,,82,15,32,35,2,0,1,-0.5418025277579328,-0.5023987075567042,2.285421571621082,3,3,0.9,0.7272727272727273,False,False,False,Structural sensitivity subset: includes bands with local measurements on both sides of the anchor. This is not a fitting-window rule and does not select an anchor.
