anchor_source,anchor_id,event,anchor_mjd,anchor_definition,diagnostic_half_width_rest_days,bands_N,bands_with_local_data_N,bands_with_pre_anchor_data_N,bands_with_post_anchor_data_N,bands_with_both_sides_N,bands_with_brightest_before_anchor_N,bands_with_brightest_at_anchor_N,bands_with_brightest_after_anchor_N,median_brightest_offset_rest_days,minimum_brightest_offset_rest_days,maximum_brightest_offset_rest_days,bands_with_pre_step_diagnostic_N,bands_with_post_step_diagnostic_N,median_pre_rising_step_fraction,median_post_declining_step_fraction,final_decline_anchor_selected,final_fitting_window_selected,model_time_defined,reference_heterogeneity_note
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,30.0,1,1,1,1,1,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.5,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,60.0,1,1,1,1,1,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.5925925925925926,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2018hyz,58429.0,bolometric_peak,120.0,1,1,1,1,1,0,0,1,11.559284542855229,11.559284542855229,11.559284542855229,1,1,1.0,0.6585365853658537,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,30.0,1,1,1,1,1,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.5,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,60.0,1,1,1,1,1,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.6153846153846154,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58424p96,AT2018hyz,58424.96,uniform K-corrected multiband fitted t_peak,120.0,1,1,1,1,1,0,0,1,15.422614465493838,15.422614465493838,15.422614465493838,1,1,1.0,0.6585365853658537,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58428p0,AT2018hyz,58428.0,empirical light-curve-model peak quoted by Gomez et al.,30.0,1,1,1,1,1,0,0,1,12.515554325686361,12.515554325686361,12.515554325686361,1,1,1.0,0.5,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58428p0,AT2018hyz,58428.0,empirical light-curve-model peak quoted by Gomez et al.,60.0,1,1,1,1,1,0,0,1,12.515554325686361,12.515554325686361,12.515554325686361,1,1,1.0,0.5925925925925926,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
PUBLISHED_ALTERNATIVE,ALT_58428p0,AT2018hyz,58428.0,empirical light-curve-model peak quoted by Gomez et al.,120.0,1,1,1,1,1,0,0,1,12.515554325686361,12.515554325686361,12.515554325686361,1,1,1.0,0.6585365853658537,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
CURRENT,CURRENT,AT2019qiz,58764.0,bolometric_peak,30.0,3,3,3,3,3,2,0,1,-0.5023987075567042,-0.5418025277579328,2.285421571621082,3,3,0.9,0.75,False,False,False,"The anchor candidates represent heterogeneous literature definitions including bolometric, single-band, and fitted multiband epochs. This audit compares local observational behavior relative to them but does not assume they represent one homogeneous physical quantity."
