event,band,N,mjd_first,mjd_last,baseline_days,historical_zero_mjd,historical_time_days_verified,historical_time_days_max_error,event_common_zero_mjd,band_offset_from_event_zero_days,cadence_q25_days,cadence_median_days,cadence_q75_days,cadence_q90_days,publication_reference_mjd,publication_reference_type,publication_reference_provenance_status,delta_first_from_reference,delta_last_from_reference,N_pre_reference,N_post_reference,fraction_pre_reference,fraction_post_reference,redshift,redshift_provenance_status,baseline_rest_days
AT2018hyz,g,79,58405.480409999844,58652.978515625,247.4981056251563,58405.480409999844,True,0,58405.480409999844,0,0.984375,2.0859375,4.8095703125,6.365429687499999,58429.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-23.519590000156313,223.978515625,2,77,0.02531645569620253,0.9746835443037974,0.04573,REPOSITORY_RAW_JSON,236.67495971728488
AT2019qiz,g,55,58746.5,58907.47,160.97000000000116,58746.5,True,0,58745.49,1.0100000000020373,1.235000000002401,2.845000000001164,3.830000000003565,6.219000000000961,58764.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-17.5,143.47000000000116,11,44,0.2,0.8,0.01513,REPOSITORY_RAW_JSON,158.57082344133377
AT2019qiz,i,29,58752.27,58903.11,150.84000000000378,58752.27,True,0,58745.49,6.779999999998836,3.7674999999981083,4.104999999999563,5.764999999997599,8.681999999999972,58764.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-11.730000000003201,139.11000000000058,3,26,0.10344827586206896,0.896551724137931,0.01513,REPOSITORY_RAW_JSON,148.59180597559305
AT2019qiz,r,61,58745.49,58907.48,161.99000000000524,58745.49,True,0,58745.49,0,0.812499999996362,2.7400000000016007,3.7399999999979627,5.260000000002766,58764.0,bolometric_peak,PENDING_LITERATURE_VERIFICATION,-18.510000000002037,143.4800000000032,9,52,0.14754098360655737,0.8524590163934426,0.01513,REPOSITORY_RAW_JSON,159.5756208564472
AT2020wey,W1,8,56954.72054806,60029.019514975,3074.2989669149974,56954.72054806,True,0,56954.72054806,0,183.53475260499908,359.0256826199984,467.23746113750167,843.2395939020034,59152.0,r_band_peak,PENDING_LITERATURE_VERIFICATION,-2197.2794519399977,877.0195149749998,6,2,0.75,0.25,0.02741,REPOSITORY_RAW_JSON,2992.280556851693
AT2020wey,W2,10,56954.72054806,60396.10768027,3441.387132209995,56954.72054806,True,0,56954.72054806,0,205.95532600500155,360.6157693549976,367.08816529499745,604.8964651540024,59152.0,r_band_peak,PENDING_LITERATURE_VERIFICATION,-2197.2794519399977,1244.1076802699972,7,3,0.7,0.3,0.02741,REPOSITORY_RAW_JSON,3349.575273950998
AT2020wey,g,428,58422.47346059978,60686.28158560023,2263.808125000447,58422.47346059978,True,0,56954.72054806,1467.7529125397778,0.1524305499624461,1.0456481999717653,3.1443692001048476,9.889722240064296,59152.0,r_band_peak,PENDING_LITERATURE_VERIFICATION,-729.5265394002199,1534.2815856002271,139,289,0.3247663551401869,0.6752336448598131,0.02741,REPOSITORY_RAW_JSON,2203.412586017702
AT2020wey,r,433,58422.52891199989,60696.4343634001,2273.9054514002055,58422.52891199989,True,0,56954.72054806,1467.8083639398901,0.24902489979285747,1.0849247998557985,3.9472945999586955,11.030611119978133,59152.0,r_band_peak,PENDING_LITERATURE_VERIFICATION,-729.4710880001076,1544.434363400098,167,266,0.3856812933025404,0.6143187066974596,0.02741,REPOSITORY_RAW_JSON,2213.2405285136465
AT2020ysg,W1,16,56996.043039775,60438.61998174,3442.576941964995,56996.043039775,True,0,56806.16809949,189.87494028500078,158.44256403750114,205.75897701499343,208.66496966499835,362.71955594999747,59122.64,fitted_lightcurve_peak,PENDING_LITERATURE_VERIFICATION,-2126.596960224997,1315.979981739998,8,8,0.5,0.5,0.277,REPOSITORY_RAW_JSON,2695.831591202032
AT2020ysg,W2,14,56806.16809949,60438.61998174,3632.451882249996,56806.16809949,True,0,56806.16809949,0,158.5494064250015,206.17568296999525,364.1492613049995,364.6920641919976,59122.64,fitted_lightcurve_peak,PENDING_LITERATURE_VERIFICATION,-2316.471900509998,1315.979981739998,6,8,0.42857142857142855,0.5714285714285714,0.277,REPOSITORY_RAW_JSON,2844.5198764682814
